"Hash","DuplicateNo","KeepHint","Category","Name","FullPath","SizeMB","LastWrite","IsCanonical"
"00F7B3F93A9395C86F9BFA6911CD3EB50831A243BE49DF77160F9B834447F0BC","1","KEEP_CANDIDATE","RuneforgeCore","firewall-rules-pre.json","C:\RUNEFOGE_PRO\runeforge\runeforge\backups\hardening-20260423_235916\firewall-rules-pre.json","0.075","23/04/2026 11:59:26 p. m.","True"
"00F7B3F93A9395C86F9BFA6911CD3EB50831A243BE49DF77160F9B834447F0BC","2","DUPLICATE_REVIEW","RuneforgeCore","firewall-rules-pre.json","C:\RUNEFOGE_PRO\runeforge\backups\hardening-20260423_235916\firewall-rules-pre.json","0.075","23/04/2026 11:59:26 p. m.","True"
"0108F0BDC2A31D9882AA46F994E52977FF3B69B690637E2B4E2E6B2718D9ECFF","1","KEEP_CANDIDATE","RuneforgeCore","nvenc_colorspace.h","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\_archive\source-zips\Sunshine-master\Sunshine-master\src\nvenc\nvenc_colorspace.h","0","21/03/2026 08:14:42 p. m.","True"
"0108F0BDC2A31D9882AA46F994E52977FF3B69B690637E2B4E2E6B2718D9ECFF","2","DUPLICATE_REVIEW","RuneforgeCore","nvenc_colorspace.h","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src\nvenc\nvenc_colorspace.h","0","21/03/2026 08:14:42 p. m.","True"
"0108F0BDC2A31D9882AA46F994E52977FF3B69B690637E2B4E2E6B2718D9ECFF","3","DUPLICATE_REVIEW","RuneforgeCore","nvenc_colorspace.h","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src\nvenc\nvenc_colorspace.h","0","21/03/2026 08:14:42 p. m.","True"
"010DAC7A97442CA6FAF869D2AB21746333A5C9B4972521283B2450074BE5EBC7","1","KEEP_CANDIDATE","RuneforgeCore","upscale_sharp_bilinear.vsh","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\upscale_sharp_bilinear.vsh","0","15/03/2026 11:52:35 a. m.","True"
"010DAC7A97442CA6FAF869D2AB21746333A5C9B4972521283B2450074BE5EBC7","2","DUPLICATE_REVIEW","RuneforgeCore","upscale_sharp_bilinear.vsh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\upscale_sharp_bilinear.vsh","0","15/03/2026 11:52:35 a. m.","True"
"010DAC7A97442CA6FAF869D2AB21746333A5C9B4972521283B2450074BE5EBC7","3","DUPLICATE_REVIEW","RuneforgeCore","upscale_sharp_bilinear.vsh","C:\RUNEFOGE_PRO\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\upscale_sharp_bilinear.vsh","0","15/03/2026 11:52:35 a. m.","True"
"0136064A3606F12A4C3ADAE7F1AEF5169E60E583815C6CBD2B8255F5BE049F89","1","KEEP_CANDIDATE","MemoriaIA","MEMORIA RUNEGORGE.txt","C:\RUNEFOGE_PRO\MEMORIA RUNEGORGE.txt","0.002","13/04/2026 01:48:58 a. m.","False"
"0136064A3606F12A4C3ADAE7F1AEF5169E60E583815C6CBD2B8255F5BE049F89","2","DUPLICATE_REVIEW","MemoriaIA","MEMORIA RUNEGORGE.txt","C:\RUNEFOGE_PRO\RUNEFOGE_PRO\MEMORIA RUNEGORGE.txt","0.002","13/04/2026 01:48:58 a. m.","False"
"01614DAA2FAE28959BF00DAEF92B2637155A261B5E5A513E8229BA6577EA4478","1","KEEP_CANDIDATE","RuneforgeCore","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.001","21/03/2026 08:14:42 p. m.","True"
"01614DAA2FAE28959BF00DAEF92B2637155A261B5E5A513E8229BA6577EA4478","2","DUPLICATE_REVIEW","RuneforgeCore","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.001","21/03/2026 08:14:42 p. m.","True"
"01614DAA2FAE28959BF00DAEF92B2637155A261B5E5A513E8229BA6577EA4478","3","DUPLICATE_REVIEW","RuneforgeCore","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.001","21/03/2026 08:14:42 p. m.","True"
"016EDF0E968F184A8DA9C49413C1BFAAAB3FDE71593F192589A58E68E192A2A9","1","KEEP_CANDIDATE","RuneforgeCore","cartoon.vsh","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\cartoon.vsh","0.001","15/03/2026 11:52:35 a. m.","True"
"016EDF0E968F184A8DA9C49413C1BFAAAB3FDE71593F192589A58E68E192A2A9","2","DUPLICATE_REVIEW","RuneforgeCore","cartoon.vsh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\cartoon.vsh","0.001","15/03/2026 11:52:35 a. m.","True"
"016EDF0E968F184A8DA9C49413C1BFAAAB3FDE71593F192589A58E68E192A2A9","3","DUPLICATE_REVIEW","RuneforgeCore","cartoon.vsh","C:\RUNEFOGE_PRO\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\cartoon.vsh","0.001","15/03/2026 11:52:35 a. m.","True"
"017E561C6505718CB99A7CDA56A7DE23B8CF3FBB300A527DEE430E2F1E3FD6CE","1","KEEP_CANDIDATE","RuneforgeCore","+PRE_DEINSTALL","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\_archive\source-zips\Sunshine-master\Sunshine-master\src_assets\bsd\misc\+PRE_DEINSTALL","0.001","21/03/2026 08:14:42 p. m.","True"
