"Status","ProposedAction","Class","Hash","Name","Source","Destination","SizeMB","LastWrite","IsCanonical"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","0108F0BDC2A31D9882AA46F994E52977FF3B69B690637E2B4E2E6B2718D9ECFF","nvenc_colorspace.h","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src\nvenc\nvenc_colorspace.h","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src\nvenc\nvenc_colorspace.h","0","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","0108F0BDC2A31D9882AA46F994E52977FF3B69B690637E2B4E2E6B2718D9ECFF","nvenc_colorspace.h","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src\nvenc\nvenc_colorspace.h","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src\nvenc\nvenc_colorspace.h","0","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","010DAC7A97442CA6FAF869D2AB21746333A5C9B4972521283B2450074BE5EBC7","upscale_sharp_bilinear.vsh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\upscale_sharp_bilinear.vsh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\upscale_sharp_bilinear.vsh","0","15/03/2026 11:52:35 a. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","010DAC7A97442CA6FAF869D2AB21746333A5C9B4972521283B2450074BE5EBC7","upscale_sharp_bilinear.vsh","C:\RUNEFOGE_PRO\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\upscale_sharp_bilinear.vsh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\upscale_sharp_bilinear.vsh","0","15/03/2026 11:52:35 a. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","01614DAA2FAE28959BF00DAEF92B2637155A261B5E5A513E8229BA6577EA4478","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.001","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","01614DAA2FAE28959BF00DAEF92B2637155A261B5E5A513E8229BA6577EA4478","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.001","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","016EDF0E968F184A8DA9C49413C1BFAAAB3FDE71593F192589A58E68E192A2A9","cartoon.vsh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\cartoon.vsh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\cartoon.vsh","0.001","15/03/2026 11:52:35 a. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","016EDF0E968F184A8DA9C49413C1BFAAAB3FDE71593F192589A58E68E192A2A9","cartoon.vsh","C:\RUNEFOGE_PRO\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\cartoon.vsh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\shaders\cartoon.vsh","0.001","15/03/2026 11:52:35 a. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","017E561C6505718CB99A7CDA56A7DE23B8CF3FBB300A527DEE430E2F1E3FD6CE","+PRE_DEINSTALL","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src_assets\bsd\misc\+PRE_DEINSTALL","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src_assets\bsd\misc\+PRE_DEINSTALL","0.001","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","017E561C6505718CB99A7CDA56A7DE23B8CF3FBB300A527DEE430E2F1E3FD6CE","+PRE_DEINSTALL","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src_assets\bsd\misc\+PRE_DEINSTALL","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\src_assets\bsd\misc\+PRE_DEINSTALL","0.001","21/03/2026 08:14:42 p. m.","True"
