"Class","Category","Name","FullPath","SizeMB","LastWrite","IsCanonical"
"MEMORY_OR_PROMPT","MemoriaIA","MEMORIA RUNEGORGE.txt","C:\RUNEFOGE_PRO\MEMORIA RUNEGORGE.txt","0.002","13/04/2026 01:48:58 a. m.","False"
"MEMORY_OR_PROMPT","RuneforgeCore","Prompt Codex Runeforge Final.pdf","C:\RUNEFOGE_PRO\Prompt Codex Runeforge Final.pdf","0.017","12/04/2026 08:36:27 p. m.","False"
"REVIEW_MANUAL","RuneforgeCore","Runeforge V2 — Bitácora Operativa (1).pdf","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa (1).pdf","0.019","13/04/2026 01:50:26 a. m.","True"
"REVIEW_MANUAL","RuneforgeCore","Runeforge V2 — Bitácora Operativa.pdf","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa.pdf","0.019","13/04/2026 01:45:38 a. m.","True"
"REVIEW_MANUAL","RuneforgeCore","Runeforge V2 Scaffold Base (1).pdf","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base (1).pdf","0.016","13/04/2026 01:47:59 a. m.","True"
"REVIEW_MANUAL","RuneforgeCore","Runeforge V2 Scaffold Base.pdf","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base.pdf","0.016","13/04/2026 01:47:49 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore",".env","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\.env","0","19/04/2026 07:37:46 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore",".env.example","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\.env.example","0","13/04/2026 01:35:15 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","package-lock.json","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\package-lock.json","0.052","19/04/2026 07:12:10 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","package.json","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\package.json","0","13/04/2026 01:35:15 a. m.","True"
"DOCUMENTATION","RuneforgeCore","README.md","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\README.md","0.001","13/04/2026 01:35:15 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","tsconfig.json","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\tsconfig.json","0","13/04/2026 01:35:15 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","app.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\app.ts","0.001","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","server.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\server.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","api.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\types\api.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","traceRepo.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\trace\traceRepo.ts","0.001","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","traceService.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\trace\traceService.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","core.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\routes\core.ts","0.001","19/04/2026 07:14:23 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","routes.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\health\routes.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","router.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\chat\router.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","routes.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\chat\routes.ts","0.001","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","service.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\chat\service.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","general.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\chat\skills\general.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","system.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\chat\skills\system.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","telemetria.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\chat\skills\telemetria.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","routes.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\modules\actions\routes.ts","0.002","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","client.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\db\client.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","init.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\db\init.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","auth.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\auth.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","config.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\config.ts","0.001","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","errors.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\errors.ts","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","tailscaleGuard.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\tailscaleGuard.ts","0.001","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","registry.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\actions\registry.ts","0.001","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","runPowerShell.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\actions\runPowerShell.ts","0.001","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","schemas.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\actions\schemas.ts","0","13/04/2026 01:35:16 a. m.","True"
"SCRIPTING_ACTIVE_OR_REVIEW","RuneforgeCore","system-status.ps1","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\scripts\system-status.ps1","0","13/04/2026 01:35:16 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","runeforge.db","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\data\runeforge.db","0.004","19/04/2026 07:38:22 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","runeforge.db-shm","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\data\runeforge.db-shm","0.031","19/04/2026 07:38:22 p. m.","True"
