"FullName","Length","LastWriteTime"
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\_audit_cctv_core_rebuild_20260509_141014\RESULT.json","1830","09/05/2026 02:10:41 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\_audit_fix_ports_20260509_140626\RESULT.json","679","09/05/2026 02:06:53 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\_audit_import_engine_20260509_141621\RESULT.json","121780","09/05/2026 02:16:33 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\_audit_import_engine_20260509_141621\server.20260509_141621.bak.js","5170","09/05/2026 02:10:17 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\_audit_normalize_cameras_20260509_202031\RESULT.json","2836","09/05/2026 02:20:31 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\backend\scripts\normalize-cameras.js","3915","09/05/2026 02:20:30 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\backend\src\db\database.js","839","09/05/2026 02:06:29 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\backend\src\routes\projects.js","1482","09/05/2026 02:06:30 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\backend\src\server.js","10173","09/05/2026 02:16:25 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\backend\.env","104","09/05/2026 02:10:17 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\backend\package-lock.json","39423","09/05/2026 02:10:31 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\backend\package.json","381","09/05/2026 02:10:31 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\dev\start-dev-server.ps1","420","27/04/2026 03:27:55 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\src\data\projects\CCTV_Base_Lerdo_TGL_20260427_041059.json","156","27/04/2026 04:10:59 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\src\data\projects\CCTV_Base_Lerdo_TGL_20260427_041128.json","156","27/04/2026 04:11:28 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\src\data\projects\CCTV_Base_Lerdo_TGL_20260427_041438.json","156","27/04/2026 04:14:38 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\src\data\projects\CCTV_Base_Lerdo_TGL_20260427_042108.json","64965","27/04/2026 04:21:08 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\src\data\runeforge-cctv-core.json","186","09/05/2026 02:10:41 p. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\.github\workflows\pages.yml","945","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\public\vendor\Controls.js","939","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\public\vendor\OrbitControls.js","40691","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\public\vendor\three.core.js","650098","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\public\vendor\three.module.js","1326016","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\public\camera_plan.json","10412","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\public\default_state.json","419","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\public\scene.json","3609","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\src\main.ts","271","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\_fusion_plan_20260510_012049.json","933","10/05/2026 01:20:49 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\package-lock.json","32536","10/05/2026 12:36:31 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\package.json","366","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\tsconfig.json","295","10/05/2026 12:28:52 a. m."
"C:\RUNEFOGE_PRO\lab\PROYEC-APP\world-builder\vite.config.ts","434","10/05/2026 12:28:52 a. m."
