rel,name,ext,size,sha256,class,action,risks
Nueva carpeta/01_raiz_actual.csv,01_raiz_actual.csv,.csv,164,9208bf7eafa8639af3b9d7b7e819ce31ec66b993d3064feccfa2e36c1cf91e8a,auditoria_base,usar_para_higiene_fuentes,fechado_2026-04-19
Nueva carpeta/02_memorias_detectadas.csv,02_memorias_detectadas.csv,.csv,1413,1714dd216e8e87fc4a911389aedf26a1f2f309a3a61f32ab75a7fdcf95d9cb5d,auditoria_base,usar_para_higiene_fuentes,fechado_2026-04-19
Nueva carpeta/03_candidatos_ruido.csv,03_candidatos_ruido.csv,.csv,502,259650913167bd157eaf38d5c8d585274d31cc6befd57406f61d8cdd58bc6d55,auditoria_base,usar_para_higiene_fuentes,fechado_2026-04-19
Nueva carpeta/04_estado_base.json,04_estado_base.json,.json,444,68bbc281ab23d3d4294a0efd10b5e372d0ab5f2e8cb2a119e6d7e700804499da,auditoria_base,usar_para_higiene_fuentes,fechado_2026-04-19
Nueva carpeta/20260404_asasasasasasasas0.csv,20260404_asasasasasasasas0.csv,.csv,719,0210c7c0ca06356ba11189f5bde629726603639e0052368fec814622c121bb65,telemetria_muestra_incompleta,archivar_como_raw,sin_registros_de_prueba_solo_encabezados
"Nueva carpeta/Avances Tecnológicos, Operativos y de Mercado en Ingeniería Electrónica.xlsx","Avances Tecnológicos, Operativos y de Mercado en Ingeniería Electrónica.xlsx",.xlsx,10210,b9c3ebe7a7acd54a807a75a2744fe686907621c32fc12b67de19a50d5802e871,catalogo_tabular,conservar_como_dataset_revisable,columna_inferida_no_autoridad_final
Nueva carpeta/CINER-Maestro.txt,CINER-Maestro.txt,.txt,7869,b10e045b2a86443c993cba37c8cb58d3bde5017f6695b4045530ba4767d7df15,fuente_canonica_o_alta,fusionar_normalizado,validar_conflictos_fecha/ruta
Nueva carpeta/diseño de circuitos.txt,diseño de circuitos.txt,.txt,3024,95261f7a63ed250c5a59f315b515d54cd5d8b85833648f6ace90db0623ce4e49,prompt_o_documento_apoyo,conservar_en_rules_o_docs,no_es_hecho_operativo_directo
Nueva carpeta/EJEC_EXTRACCION.txt,EJEC_EXTRACCION.txt,.txt,205,2208d74efe2b5b479e49f1068499b62f7cef6d1e8dd221925e726b916a028d0c,prompt_o_documento_apoyo,conservar_en_rules_o_docs,no_es_hecho_operativo_directo
Nueva carpeta/estructura_cerrada.json,estructura_cerrada.json,.json,416,f50888e7b92857a23d54f0dc3ef68697c4bdfa12b2b960db89daafbe66c58660,fuente_canonica_o_alta,fusionar_normalizado,validar_conflictos_fecha/ruta
Nueva carpeta/Extracción Técnica Global IA Descargable.md,Extracción Técnica Global IA Descargable.md,.md,3241,33df7ba069e3c602bdae444ea59965e25a8fb9118c365e52054a2d297e8d2f78,prompt_o_documento_apoyo,conservar_en_rules_o_docs,no_es_hecho_operativo_directo
Nueva carpeta/MASTER_MEMORY.md,MASTER_MEMORY.md,.md,703,29c9525e1555c6836a67acbb75ad60d96f3c7bf63888d7030aa223302b7f0b6a,fuente_canonica_o_alta,fusionar_normalizado,validar_conflictos_fecha/ruta
Nueva carpeta/memoria_20260415_031522.txt,memoria_20260415_031522.txt,.txt,4076,2f60db9a6fa0f3f324a0a195d5c2906b28d39cfc2762157fa579718971b8ba8f,historial_script_memoria,conservar_como_historico_no_canonico,contiene_script/duplicados
Nueva carpeta/memoria_20260417_231816.txt,memoria_20260417_231816.txt,.txt,51,ba520b41e86e50120b45e92c1878f28204b5cf338dc9b686ea2080fd0eb40e29,ruido_memoria_corta,archivar_no_fusionar,contenido_demasiado_corto
Nueva carpeta/memoria_20260417_231926.txt,memoria_20260417_231926.txt,.txt,140,d857bbf72b6c944c6c43ae2ec9dd0663554225129b3d79d01d4469bb3a727f4c,ruido_memoria_corta,archivar_no_fusionar,contenido_demasiado_corto
Nueva carpeta/memoria_operativa_actual.txt,memoria_operativa_actual.txt,.txt,943,37a95831618783c58204e8a1c42deac8019f6e7854fdb29c77c17961ed0a0f31,fuente_canonica_o_alta,fusionar_normalizado,validar_conflictos_fecha/ruta
Nueva carpeta/PowerShell.txt,PowerShell.txt,.txt,1034,c9dd659b3c9d21460708d39ea44914a06c8712654cc75a84cc8acd4852fd5c5e,prompt_o_documento_apoyo,conservar_en_rules_o_docs,no_es_hecho_operativo_directo
Nueva carpeta/PROMPT MAESTRO A-SHEEL.txt,PROMPT MAESTRO A-SHEEL.txt,.txt,3339,4951e598480d245e9c81142b68849273ad88ed8202a3fc17cd4cb1407f38f9e2,fuente_canonica_o_alta,fusionar_normalizado,validar_conflictos_fecha/ruta
Nueva carpeta/README.md,README.md,.md,1713,7515392779dd6195bb30e27e361a593c915728e5e973e5cba486eee7be7f38ea,fuente_canonica_o_alta,fusionar_normalizado,validar_conflictos_fecha/ruta
Nueva carpeta/Runeforge.md,Runeforge.md,.md,40307,b3619ca779ea428d2a83d132dcc3af0ae5b69ca8444b923b04735615cda0afad,fuente_canonica_o_alta,fusionar_normalizado,validar_conflictos_fecha/ruta
Nueva carpeta/Runeforge_Tactical_Playbook.pptx,Runeforge_Tactical_Playbook.pptx,.pptx,19202343,8fd7dedaf84eca972e3ab1ada76cef9ae6e7f1eca517f48601cc479f405f03a0,presentacion_visual,conservar_como_asset_no_indexar_texto,pptx_sin_texto_extraible
