"DryRun","SourceExists","TipoVisual","Nombre","Relativo","RutaOrigen","DestinoPrevisto","Extension","TamanoPlanBytes","TamanoRealBytes","LastWrite","Riesgo","Motivo"
"NO_COPY","True","croquis_to_blueprint","abasolo satelite.png","abasolo satelite.png","G:\abasolo satelite.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\abasolo satelite.png",".png","3432875","3432875","2026-03-10T11:49:47.7843830-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","croquis_to_blueprint","abasolo.png","abasolo.png","G:\abasolo.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\abasolo.png",".png","509596","509596","2026-03-10T11:49:27.4496256-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","croquis_to_blueprint","tienda.png","tienda.png","G:\tienda.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\tienda.png",".png","2313144","2313144","2026-03-14T23:18:37.7113072-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","croquis_to_blueprint","tula.png","tula.png","G:\tula.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\tula.png",".png","3634163","3634163","2026-03-10T11:49:11.1291644-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","geo_route_or_sector_map","ABASOLO.kml","CCTB_tgl_bases\ABASOLO.kml","G:\CCTB_tgl_bases\ABASOLO.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\geo_route_or_sector_map\CCTB_tgl_bases__ABASOLO.kml",".kml","678","678","2026-03-04T01:59:39.5146734-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","geo_route_or_sector_map","TULA.kml","CCTB_tgl_bases\TULA.kml","G:\CCTB_tgl_bases\TULA.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\geo_route_or_sector_map\CCTB_tgl_bases__TULA.kml",".kml","729","729","2026-03-04T01:45:56.5442339-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ABASOLO.kml","CCTB_tgl_bases\cctv-pin\ABASOLO.kml","G:\CCTB_tgl_bases\cctv-pin\ABASOLO.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin__ABASOLO.kml",".kml","678","678","2026-03-04T08:30:56.0000000-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","TULA.kml","CCTB_tgl_bases\cctv-pin\TULA.kml","G:\CCTB_tgl_bases\cctv-pin\TULA.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin__TULA.kml",".kml","729","729","2026-03-04T08:30:56.0000000-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ABASOLO.kml","CCTB_tgl_bases\cctv-pin_v2\ABASOLO.kml","G:\CCTB_tgl_bases\cctv-pin_v2\ABASOLO.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin_v2__ABASOLO.kml",".kml","678","678","2026-03-04T14:54:44.0000000-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","TULA.kml","CCTB_tgl_bases\cctv-pin_v2\TULA.kml","G:\CCTB_tgl_bases\cctv-pin_v2\TULA.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin_v2__TULA.kml",".kml","729","729","2026-03-04T14:54:44.0000000-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
