"Category","Name","FullPath","SizeMB","LastWrite"
"OTHER",".gitignore","C:\RUNEFOGE_PRO\runeforge\.gitignore","0.0001","25/04/2026 02:40:58 a. m."
"OTHER","Avances Tecnológicos, Operativos y de Mercado en Ingeniería Electrónica.xlsx","C:\RUNEFOGE_PRO\runeforge\Avances Tecnológicos, Operativos y de Mercado en Ingeniería Electrónica.xlsx","0.0097","19/04/2026 06:23:39 p. m."
"OTHER","estructura_cerrada.json","C:\RUNEFOGE_PRO\runeforge\estructura_cerrada.json","0.0004","19/04/2026 03:25:06 a. m."
"OTHER","NotebookLM Mind Map.png","C:\RUNEFOGE_PRO\runeforge\NotebookLM Mind Map.png","1.708","19/04/2026 06:24:50 p. m."
"OTHER","package-lock.json","C:\RUNEFOGE_PRO\runeforge\package-lock.json","0.0001","24/04/2026 02:58:14 a. m."
"DOCS","README CINER.txt","C:\RUNEFOGE_PRO\runeforge\README CINER.txt","0.0144","27/04/2026 01:50:46 a. m."
"DOCS","README_ESTRUCTURA.txt","C:\RUNEFOGE_PRO\runeforge\README_ESTRUCTURA.txt","0.0004","19/04/2026 03:25:06 a. m."
"OTHER","RUNEFORGE_PANEL_MINI.cmd","C:\RUNEFOGE_PRO\runeforge\RUNEFORGE_PANEL_MINI.cmd","0.0001","25/04/2026 02:21:41 a. m."
"OTHER","RUNEFORGE_PANEL.cmd","C:\RUNEFOGE_PRO\runeforge\RUNEFORGE_PANEL.cmd","0.0001","25/04/2026 02:12:48 a. m."
"OTHER","Runeforge_Tactical_Playbook.pptx","C:\RUNEFOGE_PRO\runeforge\Runeforge_Tactical_Playbook.pptx","18.3128","19/04/2026 06:23:17 p. m."
"OTHER",".env","C:\RUNEFOGE_PRO\runeforge\app\.env","0.0005","27/03/2026 07:04:56 a. m."
"OTHER",".env.example","C:\RUNEFOGE_PRO\runeforge\app\.env.example","0.0003","27/04/2026 02:17:55 a. m."
"OTHER",".gitignore","C:\RUNEFOGE_PRO\runeforge\app\.gitignore","0","20/03/2026 12:15:06 a. m."
"OTHER","backend.err.log","C:\RUNEFOGE_PRO\runeforge\app\backend.err.log","0","24/04/2026 03:11:53 a. m."
"OTHER","backend.out.log","C:\RUNEFOGE_PRO\runeforge\app\backend.out.log","0.0016","25/04/2026 02:59:33 a. m."
"OTHER","check-runeforge.ps1","C:\RUNEFOGE_PRO\runeforge\app\check-runeforge.ps1","0.0007","27/03/2026 07:04:56 a. m."
"OTHER","forge_ui_nexo_v_1_runeforge.jsx","C:\RUNEFOGE_PRO\runeforge\app\forge_ui_nexo_v_1_runeforge.jsx","0.0162","27/03/2026 01:28:19 a. m."
"OTHER","package-lock.json","C:\RUNEFOGE_PRO\runeforge\app\package-lock.json","0.0406","27/03/2026 01:17:01 a. m."
"CORE_BACKEND","package.json","C:\RUNEFOGE_PRO\runeforge\app\package.json","0.0006","20/03/2026 12:15:06 a. m."
"DOCS","README.md","C:\RUNEFOGE_PRO\runeforge\app\README.md","0.0007","20/03/2026 12:15:06 a. m."
"OTHER","validate_start.err.log","C:\RUNEFOGE_PRO\runeforge\app\validate_start.err.log","0.0011","19/04/2026 03:45:07 a. m."
"OTHER","validate_start.out.log","C:\RUNEFOGE_PRO\runeforge\app\validate_start.out.log","0.0015","19/04/2026 04:02:09 a. m."
"RUNTIME_DATA","runeforge.log","C:\RUNEFOGE_PRO\runeforge\app\data\logs\runeforge.log","0.0212","27/04/2026 02:44:10 a. m."
"OTHER","chat.log","C:\RUNEFOGE_PRO\runeforge\app\data\trace\chat.log","0.0037","24/04/2026 03:07:36 a. m."
"OTHER","ssh_repair_20260417_122033.log","C:\RUNEFOGE_PRO\runeforge\app\data\trace\ssh_repair_20260417_122033.log","0.0054","17/04/2026 12:20:59 p. m."
"OTHER","ssh_repair_20260417_122049.log","C:\RUNEFOGE_PRO\runeforge\app\data\trace\ssh_repair_20260417_122049.log","0.0034","17/04/2026 12:20:59 p. m."
"OTHER","runeforge-ssh-bootstrap.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\runeforge-ssh-bootstrap.ps1","0.0041","17/04/2026 12:10:31 p. m."
"OTHER","runeforge-ssh-repair-v2.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\runeforge-ssh-repair-v2.ps1","0.0051","17/04/2026 12:20:20 p. m."
"OTHER","check-game-host.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\games\check-game-host.ps1","0.0014","21/03/2026 09:07:58 p. m."
"OTHER","check-gpu.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\games\check-gpu.ps1","0.0001","21/03/2026 09:02:46 p. m."
"OTHER","check-network.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\games\check-network.ps1","0.0003","21/03/2026 09:02:46 p. m."
"OTHER","start-steam.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\games\start-steam.ps1","0.0004","21/03/2026 09:02:46 p. m."
"OTHER","start-sunshine.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\games\start-sunshine.ps1","0.0009","21/03/2026 09:07:58 p. m."
"OTHER","stop-sunshine.ps1","C:\RUNEFOGE_PRO\runeforge\app\ops\games\stop-sunshine.ps1","0.0005","21/03/2026 09:07:58 p. m."
"OTHER","index.html","C:\RUNEFOGE_PRO\runeforge\app\public\index.html","0.0013","19/04/2026 05:54:19 a. m."
"OTHER","start-runeforge.cmd","C:\RUNEFOGE_PRO\runeforge\app\retro\start-runeforge.cmd","0.0001","27/03/2026 07:04:56 a. m."
"OTHER","PlayniteInstaller.exe","C:\RUNEFOGE_PRO\runeforge\app\retro\frontends\playnite\PlayniteInstaller.exe","0.2444","22/03/2026 08:06:12 p. m."
"OTHER","padtest_ps2.elf","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\padtest_ps2.elf","0.1898","22/03/2026 08:02:28 p. m."
"OTHER","PS2dumperV2_bin.7z","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\PS2dumperV2_bin.7z","0.2812","22/03/2026 08:03:00 p. m."
"OTHER","PS2dumperV2_iso.7z","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\PS2dumperV2_iso.7z","0.4316","22/03/2026 08:03:08 p. m."
"OTHER","tools-bios-dumper-v2.tar.gz","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.tar.gz","0.0003","22/03/2026 08:03:16 p. m."
"OTHER","tools-bios-dumper-v2.zip","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.zip","0.0004","22/03/2026 08:03:12 p. m."
"OTHER","tools-tests-pad.tar.gz","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-tests-pad.tar.gz","0.0003","22/03/2026 08:02:48 p. m."
"OTHER","tools-tests-pad.zip","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-tests-pad.zip","0.0004","22/03/2026 08:02:44 p. m."
"OTHER",".nojekyll","C:\RUNEFOGE_PRO\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\debugger\.nojekyll","0","15/03/2026 11:53:07 a. m."
"SCRIPTS","dev.ps1","C:\RUNEFOGE_PRO\runeforge\app\scripts\dev.ps1","0","20/03/2026 12:15:06 a. m."
"SCRIPTS","start.ps1","C:\RUNEFOGE_PRO\runeforge\app\scripts\start.ps1","0","20/03/2026 12:15:06 a. m."
"CORE_BACKEND","app.js","C:\RUNEFOGE_PRO\runeforge\app\src\app.js","0.001","27/03/2026 12:51:28 a. m."
"CORE_BACKEND","server.js","C:\RUNEFOGE_PRO\runeforge\app\src\server.js","0.0007","25/04/2026 02:57:27 a. m."
"CORE_BACKEND","ai.client.js","C:\RUNEFOGE_PRO\runeforge\app\src\adapters\ai\ai.client.js","0.0002","20/03/2026 12:15:06 a. m."
"CORE_BACKEND","whatsapp.webhook.routes.js","C:\RUNEFOGE_PRO\runeforge\app\src\adapters\whatsapp\whatsapp.webhook.routes.js","0.0008","20/03/2026 12:15:06 a. m."
"CORE_BACKEND","env.js","C:\RUNEFOGE_PRO\runeforge\app\src\config\env.js","0.0012","25/04/2026 02:57:26 a. m."
"CORE_BACKEND","command-registry.js","C:\RUNEFOGE_PRO\runeforge\app\src\core\command-registry.js","0.0017","27/03/2026 07:04:56 a. m."
"CORE_BACKEND","beacon.routes.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\beacon\beacon.routes.js","0.0005","20/03/2026 12:15:06 a. m."
"CORE_BACKEND","chat.routes.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\chat.routes.js","0.0005","27/03/2026 12:54:00 a. m."
"CORE_BACKEND","chat.service.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\chat.service.js","0.0009","27/03/2026 12:55:32 a. m."
"CORE_BACKEND","chat.trace.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\chat.trace.js","0.0003","27/03/2026 07:04:54 a. m."
"CORE_BACKEND","skill-router.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\skill-router.js","0.0011","27/03/2026 12:57:16 a. m."
"CORE_BACKEND","general.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\skills\general.js","0.0005","27/03/2026 07:04:54 a. m."
"CORE_BACKEND","system.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\skills\system.js","0.0009","27/03/2026 07:04:54 a. m."
