"Status","ProposedAction","Class","Hash","Name","Source","Destination","SizeMB","LastWrite","IsCanonical"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","01614DAA2FAE28959BF00DAEF92B2637155A261B5E5A513E8229BA6577EA4478","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.001","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","01614DAA2FAE28959BF00DAEF92B2637155A261B5E5A513E8229BA6577EA4478","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.001","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","2CF512BAA4CA8E4ECB6D4B66C1F4A826E5F970C5F7F4C44DC429C330432AB7E0","sunshine.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\sunshine.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\sunshine.sh","0","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","2CF512BAA4CA8E4ECB6D4B66C1F4A826E5F970C5F7F4C44DC429C330432AB7E0","sunshine.sh","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\sunshine.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\sunshine.sh","0","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","30E0E592D5334882C9366D7564858D63A1D694051BFE372866DA53E4926BD24E","linux_build.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\linux_build.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\linux_build.sh","0.023","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","30E0E592D5334882C9366D7564858D63A1D694051BFE372866DA53E4926BD24E","linux_build.sh","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\linux_build.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\linux_build.sh","0.023","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","5F7F0B5E56A79AFE84162A538961BBEAF7A556B783FB50AF607A895527D01A84","remove-additional-install.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\remove-additional-install.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\remove-additional-install.sh","0","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","5F7F0B5E56A79AFE84162A538961BBEAF7A556B783FB50AF607A895527D01A84","remove-additional-install.sh","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\remove-additional-install.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\remove-additional-install.sh","0","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","8174ED85508551F9BDDAE748A1B2DECFCC56CA116ABE08F98FBDC1ADA61619EF","convert_and_pack.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\icons\convert_and_pack.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\icons\convert_and_pack.sh","0.002","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","8174ED85508551F9BDDAE748A1B2DECFCC56CA116ABE08F98FBDC1ADA61619EF","convert_and_pack.sh","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\icons\convert_and_pack.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\icons\convert_and_pack.sh","0.002","21/03/2026 08:14:42 p. m.","True"
"PENDING","CANDIDATE_ARCHIVE_VENDOR","VENDOR_ARCHIVE","A51976EA0724700BA8AC20390AC6F386761A8A531E89FE49D058D7EBF73A713B","additional-install.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\additional-install.sh","C:\RUNEFOGE_PRO\runeforge\archive\duplicates_legacy_20260427_023023\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\packaging\linux\flatpak\scripts\additional-install.sh","0.001","21/03/2026 08:14:42 p. m.","True"
