"Name","Extension","Category","FullPath","RelativePath","Directory","SizeBytes","SizeMB","Created","LastWrite","AgeDays","IsOld","IsCanonical","Hash"
"MEMORIA RUNEGORGE.txt",".txt","MemoriaIA","C:\RUNEFOGE_PRO\MEMORIA RUNEGORGE.txt","MEMORIA RUNEGORGE.txt","C:\RUNEFOGE_PRO","2204","0.002","27/04/2026 01:02:51 a. m.","13/04/2026 01:48:58 a. m.","14","False","False","0136064A3606F12A4C3ADAE7F1AEF5169E60E583815C6CBD2B8255F5BE049F89"
"Prompt Codex Runeforge Final.pdf",".pdf","RuneforgeCore","C:\RUNEFOGE_PRO\Prompt Codex Runeforge Final.pdf","Prompt Codex Runeforge Final.pdf","C:\RUNEFOGE_PRO","17954","0.017","27/04/2026 01:02:51 a. m.","12/04/2026 08:36:27 p. m.","14.3","False","False","83EF66CA4FEAC4DC14CB388DAEDD1BABAB5E48E0CAD37415EE37B1298CCFE5F0"
"Runeforge V2 — Bitácora Operativa (1).pdf",".pdf","RuneforgeCore","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa (1).pdf","Runeforge V2 — Bitácora Operativa (1).pdf","C:\RUNEFOGE_PRO","19806","0.019","27/04/2026 01:02:50 a. m.","13/04/2026 01:50:26 a. m.","14","False","True","D92D14E181F9C1E5DED249EE8462E2129E23446FE5BCA61660035C683C7D27FD"
"Runeforge V2 — Bitácora Operativa.pdf",".pdf","RuneforgeCore","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa.pdf","Runeforge V2 — Bitácora Operativa.pdf","C:\RUNEFOGE_PRO","19805","0.019","27/04/2026 01:02:51 a. m.","13/04/2026 01:45:38 a. m.","14","False","True","0E20D2614C933C19E6687B9541B50866F5EBAFA2C25029920F4D87AA0B911284"
"Runeforge V2 Scaffold Base (1).pdf",".pdf","RuneforgeCore","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base (1).pdf","Runeforge V2 Scaffold Base (1).pdf","C:\RUNEFOGE_PRO","16626","0.016","27/04/2026 01:02:51 a. m.","13/04/2026 01:47:59 a. m.","14","False","True","C6E9E867FD956A5EEE68750BB977DB8AEDA72993EA31D801B641170F76F2236E"
"Runeforge V2 Scaffold Base.pdf",".pdf","RuneforgeCore","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base.pdf","Runeforge V2 Scaffold Base.pdf","C:\RUNEFOGE_PRO","16629","0.016","27/04/2026 01:02:51 a. m.","13/04/2026 01:47:49 a. m.","14","False","True","321769DF432D384F6E1FED68228A2EC5FA1C8534059DB084634980EC4B96C8EC"
".env",".env","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\.env","runeforge-v2-ready\runeforge-v2\.env","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2","307","0","27/04/2026 01:02:51 a. m.","19/04/2026 07:37:46 p. m.","7.3","False","True","5402422A718095F0D082521AEF7DC9916C10B0A2D32BEA1423D96B6CCC3B57A2"
".env.example",".example","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\.env.example","runeforge-v2-ready\runeforge-v2\.env.example","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2","274","0","27/04/2026 01:02:51 a. m.","13/04/2026 01:35:15 a. m.","14","False","True","7E26DC2902B2C8D9142537BE693B49E2EBF77EAED70B7109186CCB3E181760C8"
"package-lock.json",".json","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\package-lock.json","runeforge-v2-ready\runeforge-v2\package-lock.json","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2","54009","0.052","27/04/2026 01:02:57 a. m.","19/04/2026 07:12:10 p. m.","7.3","False","True","3CAC9A3BB0B2B6027D2D1135916EFB9F3F5D578B1B6F633A20D05B1CABF9E89E"
"package.json",".json","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\package.json","runeforge-v2-ready\runeforge-v2\package.json","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2","487","0","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:15 a. m.","14","False","True",""
"README.md",".md","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\README.md","runeforge-v2-ready\runeforge-v2\README.md","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2","819","0.001","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:15 a. m.","14","False","True","456185CC5CB87CACD4AE25ABC966000B15821B12202EEAEA1D104E8E51BEB9BD"
"tsconfig.json",".json","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\tsconfig.json","runeforge-v2-ready\runeforge-v2\tsconfig.json","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2","491","0","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:15 a. m.","14","False","True","C51520DAC87F475DC0679A03AAE0581B6A045797A2D845D06F8502E7A7AADCF3"
"app.ts",".ts","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\app.ts","runeforge-v2-ready\runeforge-v2\src\app.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src","675","0.001","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:16 a. m.","14","False","True","59EFD66A7521DB13ED84D6FAB38F5C40DE99E717B792DCD8E0F021C928D0555F"
"server.ts",".ts","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\server.ts","runeforge-v2-ready\runeforge-v2\src\server.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src","484","0","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:16 a. m.","14","False","True",""
"api.ts",".ts","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\types\api.ts","runeforge-v2-ready\runeforge-v2\src\types\api.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\types","463","0","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:16 a. m.","14","False","True","ED4B562532094825996BEAF6359E7DA0F0DD0633608899599150E9061AE22343"
"traceRepo.ts",".ts","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\trace\traceRepo.ts","runeforge-v2-ready\runeforge-v2\src\trace\traceRepo.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\trace","595","0.001","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:16 a. m.","14","False","True","1ABB6DB90AB1D5D4CDDA9186C2A45F1D35B21B15DDAA9CC69469C9F8C747FEA2"
"traceService.ts",".ts","RuneforgeCore","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\trace\traceService.ts","runeforge-v2-ready\runeforge-v2\src\trace\traceService.ts","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\trace","312","0","27/04/2026 01:02:57 a. m.","13/04/2026 01:35:16 a. m.","14","False","True","B6884191D3EFFA7F72ECDF24266AD67B8A4BB870EF13D7D094948DFE4B85507B"
