"IP","MAC","Estado","Tipo","VivoPorPing","AccionSugerida"
"192.168.100.1","D4-00-68-9A-3E-60","Reachable","ROUTER_NO_BLOQUEAR","True","NO_BLOQUEAR"
"192.168.100.1","D4-00-68-9A-3E-60","Stale","ROUTER_NO_BLOQUEAR","True","NO_BLOQUEAR"
"192.168.100.2","FC-B6-9D-A5-31-A4","Reachable","DISPOSITIVO_REVISAR","True","IDENTIFICAR"
"192.168.100.3","B4-0E-CF-44-FE-B9","Stale","DISPOSITIVO_REVISAR","True","IDENTIFICAR"
"192.168.100.5","2E-15-F3-86-58-20","Unreachable","DISPOSITIVO_REVISAR","False","IDENTIFICAR"
"192.168.100.6","C8-FF-28-F7-E0-6B","Stale","DISPOSITIVO_REVISAR","False","IDENTIFICAR"
"192.168.100.7","32-4A-79-C6-97-D2","Unreachable","DISPOSITIVO_REVISAR","False","IDENTIFICAR"
"192.168.100.9","42-C6-32-F1-39-F1","Stale","DISPOSITIVO_REVISAR","True","IDENTIFICAR"
"192.168.100.10","AC-FA-E4-69-6A-31","Stale","DISPOSITIVO_REVISAR","False","IDENTIFICAR"
"192.168.100.11","62-7B-BF-07-7C-6F","Stale","DISPOSITIVO_REVISAR","True","IDENTIFICAR"
"192.168.100.12","76-FB-00-1C-E2-46","Stale","DISPOSITIVO_REVISAR","False","IDENTIFICAR"
"192.168.100.14","DC-56-7B-07-09-3D","Stale","DISPOSITIVO_REVISAR","False","IDENTIFICAR"
"192.168.100.15","72-D8-FA-A0-F2-1A","Unreachable","DISPOSITIVO_REVISAR","False","IDENTIFICAR"
