"Risk","Kind","Pattern","Path","SizeKB","Exists"
"HIGH","env_file","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\.env","0.3","True"
"MEDIUM_CODE_CONFIG","code_config","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\auth.ts","0.41","True"
"MEDIUM_CODE_CONFIG","code_config","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\config.ts","1.05","True"
"MEDIUM_CODE_CONFIG","code_config","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\config\env.js","0.98","True"
"MEDIUM_CODE_CONFIG","code_config","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\adapters\whatsapp\whatsapp.webhook.routes.js","0.87","True"
"HIGH","env_file","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\.env","0.5","True"
"MEDIUM_CODE_CONFIG","code_config","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\config\env.js","1.2","True"
"MEDIUM_CODE_CONFIG","code_config","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\adapters\whatsapp\whatsapp.webhook.routes.js","0.87","True"
"LOW_ARCHIVE_FALSE_POSITIVE_LIKELY","archive_or_vendor","PASSWORD_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\_downloads\PPSSPPWindowsARM64\assets\debugger\static\js\main.fe87e942.js","571.56","True"
"LOW_ARCHIVE_FALSE_POSITIVE_LIKELY","archive_or_vendor","TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\_archive\source-zips\Sunshine-master\Sunshine-master\README.md","13.19","True"
"LOW_ARCHIVE_FALSE_POSITIVE_LIKELY","archive_or_vendor","PASSWORD_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\_archive\source-zips\Sunshine-master\Sunshine-master\vite.config.js","3.05","True"
