"event_id","ts","domain","source","actor","entity_type","entity_id","action","status","risk","trace_path","evidence_path","metadata"
"evt_20260530_201137_001","2026-05-30T20:09:01.2959815-06:00","event_model","trace_file","system","trace_file","rf_event_schema_v1_bootstrap_20260530_200901.json","bootstrap_created","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_event_schema_v1_bootstrap_20260530_200901.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_002","2026-05-30T19:42:44.6310205-06:00","export_cleanup","trace_file","system","trace_file","rf_export_cleanup_close_v1_20260530_194238.json","cleanup_closed","closed","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_export_cleanup_close_v1_20260530_194238.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_003","2026-05-30T19:36:15.4751440-06:00","export_cleanup","trace_file","system","trace_file","rf_export_cleanup_quarantine_v1_1_20260530_193605.json","move_to_quarantine","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_export_cleanup_quarantine_v1_1_20260530_193605.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_004","2026-05-30T03:30:00.4095830-06:00","export_cleanup","trace_file","system","trace_file","rf_export_cleanup_plan_v1_20260530_032953.json","cleanup_plan_generated","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_export_cleanup_plan_v1_20260530_032953.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_005","2026-05-30T03:16:40.2132083-06:00","export_cleanup","trace_file","system","trace_file","rf_safe_export_final_20260530_031637.json","safe_export_finalized","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_safe_export_final_20260530_031637.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_006","2026-05-30T03:11:35.0065059-06:00","export_cleanup","trace_file","system","trace_file","rf_safe_export_final_20260530_031131.json","safe_export_finalized","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_safe_export_final_20260530_031131.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_007","2026-05-26T13:17:27.8197406-06:00","actions","trace_file","system","trace_file","rf_actions_v4_error_20260526.jsonl","trace_observed","error","medium","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_actions_v4_error_20260526.jsonl","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_008","2026-05-23T18:31:24.7691480-06:00","actions","trace_file","system","trace_file","rf_core_actions_v5_endpoint_patch_20260523_183102.json","patch_applied","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_core_actions_v5_endpoint_patch_20260523_183102.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_009","2026-05-23T18:31:24.0397790-06:00","actions","trace_file","system","trace_file","rf_actions_v5_blocked_20260524.jsonl","blocked_action","blocked","medium","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_actions_v5_blocked_20260524.jsonl","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_010","2026-05-23T18:31:23.9427659-06:00","actions","trace_file","system","trace_file","rf_actions_v5_execute_20260524.jsonl","action_execute","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_actions_v5_execute_20260524.jsonl","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_011","2026-05-23T18:31:23.8377528-06:00","actions","trace_file","system","trace_file","rf_actions_v5_core_health_snapshot_2026-05-24T00-31-23-836Z.json","trace_observed","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_actions_v5_core_health_snapshot_2026-05-24T00-31-23-836Z.json","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_012","2026-05-23T18:31:23.7035836-06:00","actions","trace_file","system","trace_file","rf_actions_v5_memory_event_20260524.jsonl","memory_written","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_actions_v5_memory_event_20260524.jsonl","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_013","2026-05-23T16:33:34.6007433-06:00","n8n","trace_file","system","trace_file","rf_n8n_canary_2_20_12_start_5680_localhost.jsonl","trace_observed","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_n8n_canary_2_20_12_start_5680_localhost.jsonl","","System.Collections.Specialized.OrderedDictionary"
"evt_20260530_201137_014","2026-05-23T16:28:07.7059750-06:00","actions","trace_file","system","trace_file","rf_n8n_action_router_v5_import_20260523_162713.json","trace_observed","ok","low","C:\RUNEFOGE_PRO\runeforge\data\traces\rf_n8n_action_router_v5_import_20260523_162713.json","","System.Collections.Specialized.OrderedDictionary"
