"edge_id","from_node","to_node","relation","confidence","evidence_event_id","rule_valid"
"edge:evt_20260530_201137_001-domain-event_model","event:evt_20260530_201137_001","domain:event_model","pertenece_a_dominio","1.0","evt_20260530_201137_001","True"
"edge:evt_20260530_201137_001-action-bootstrap_created","event:evt_20260530_201137_001","action:bootstrap_created","ejecuto_accion","1.0","evt_20260530_201137_001","True"
"edge:evt_20260530_201137_001-status-ok","event:evt_20260530_201137_001","status:ok","tiene_estado","1.0","evt_20260530_201137_001","True"
"edge:evt_20260530_201137_001-risk-low","event:evt_20260530_201137_001","risk:low","tiene_riesgo","1.0","evt_20260530_201137_001","True"
"edge:evt_20260530_201137_001-trace","event:evt_20260530_201137_001","trace_file:rf_event_schema_v1_bootstrap_20260530_200901.json","registrado_en","1.0","evt_20260530_201137_001","True"
"edge:evt_20260530_201137_002-domain-export_cleanup","event:evt_20260530_201137_002","domain:export_cleanup","pertenece_a_dominio","1.0","evt_20260530_201137_002","True"
"edge:evt_20260530_201137_002-action-cleanup_closed","event:evt_20260530_201137_002","action:cleanup_closed","ejecuto_accion","1.0","evt_20260530_201137_002","True"
"edge:evt_20260530_201137_002-status-closed","event:evt_20260530_201137_002","status:closed","tiene_estado","1.0","evt_20260530_201137_002","True"
"edge:evt_20260530_201137_002-risk-low","event:evt_20260530_201137_002","risk:low","tiene_riesgo","1.0","evt_20260530_201137_002","True"
"edge:evt_20260530_201137_002-trace","event:evt_20260530_201137_002","trace_file:rf_export_cleanup_close_v1_20260530_194238.json","registrado_en","1.0","evt_20260530_201137_002","True"
"edge:evt_20260530_201137_003-domain-export_cleanup","event:evt_20260530_201137_003","domain:export_cleanup","pertenece_a_dominio","1.0","evt_20260530_201137_003","True"
"edge:evt_20260530_201137_003-action-move_to_quarantine","event:evt_20260530_201137_003","action:move_to_quarantine","ejecuto_accion","1.0","evt_20260530_201137_003","True"
"edge:evt_20260530_201137_003-status-ok","event:evt_20260530_201137_003","status:ok","tiene_estado","1.0","evt_20260530_201137_003","True"
"edge:evt_20260530_201137_003-risk-low","event:evt_20260530_201137_003","risk:low","tiene_riesgo","1.0","evt_20260530_201137_003","True"
"edge:evt_20260530_201137_003-trace","event:evt_20260530_201137_003","trace_file:rf_export_cleanup_quarantine_v1_1_20260530_193605.json","registrado_en","1.0","evt_20260530_201137_003","True"
"edge:evt_20260530_201137_004-domain-export_cleanup","event:evt_20260530_201137_004","domain:export_cleanup","pertenece_a_dominio","1.0","evt_20260530_201137_004","True"
"edge:evt_20260530_201137_004-action-cleanup_plan_generated","event:evt_20260530_201137_004","action:cleanup_plan_generated","ejecuto_accion","1.0","evt_20260530_201137_004","True"
"edge:evt_20260530_201137_004-status-ok","event:evt_20260530_201137_004","status:ok","tiene_estado","1.0","evt_20260530_201137_004","True"
"edge:evt_20260530_201137_004-risk-low","event:evt_20260530_201137_004","risk:low","tiene_riesgo","1.0","evt_20260530_201137_004","True"
"edge:evt_20260530_201137_004-trace","event:evt_20260530_201137_004","trace_file:rf_export_cleanup_plan_v1_20260530_032953.json","registrado_en","1.0","evt_20260530_201137_004","True"
