"node_id","node_type","label","source","created_at"
"event:evt_20260530_201137_030","event","evt_20260530_201137_030","event_model","2026-05-30T20:36:27.4786719-06:00"
"event:evt_20260530_201137_026","event","evt_20260530_201137_026","event_model","2026-05-30T20:36:27.4675309-06:00"
"action:cleanup_plan_generated","action","cleanup_plan_generated","event_model","2026-05-30T20:36:27.3739149-06:00"
"event:evt_20260530_201137_023","event","evt_20260530_201137_023","event_model","2026-05-30T20:36:27.4617582-06:00"
"status:error","status","error","event_model","2026-05-30T20:36:27.3929984-06:00"
"event:evt_20260530_201137_003","event","evt_20260530_201137_003","event_model","2026-05-30T20:36:27.3663398-06:00"
"action:cleanup_closed","action","cleanup_closed","event_model","2026-05-30T20:36:27.3626927-06:00"
"action:blocked_action","action","blocked_action","event_model","2026-05-30T20:36:27.3985673-06:00"
"event:evt_20260530_201137_015","event","evt_20260530_201137_015","event_model","2026-05-30T20:36:27.4208896-06:00"
"trace_file:rf_actions_controladas_v4_memory_20260523_124422.json","trace_file","rf_actions_controladas_v4_memory_20260523_124422.json","event_model","2026-05-30T20:36:27.4456300-06:00"
"risk:medium","risk","medium","event_model","2026-05-30T20:36:27.3930554-06:00"
"event:evt_20260530_201137_013","event","evt_20260530_201137_013","event_model","2026-05-30T20:36:27.4163204-06:00"
"event:evt_20260530_201137_028","event","evt_20260530_201137_028","event_model","2026-05-30T20:36:27.4744704-06:00"
"event:evt_20260530_201137_005","event","evt_20260530_201137_005","event_model","2026-05-30T20:36:27.3797449-06:00"
"event:evt_20260530_201137_011","event","evt_20260530_201137_011","event_model","2026-05-30T20:36:27.4121585-06:00"
"status:closed","status","closed","event_model","2026-05-30T20:36:27.3627532-06:00"
"risk:low","risk","low","event_model","2026-05-30T20:36:27.3495891-06:00"
"trace_file:rf_actions_v4_execute_20260523.jsonl","trace_file","rf_actions_v4_execute_20260523.jsonl","event_model","2026-05-30T20:36:27.4234623-06:00"
"event:evt_20260530_201137_012","event","evt_20260530_201137_012","event_model","2026-05-30T20:36:27.4142530-06:00"
"event:evt_20260530_201137_016","event","evt_20260530_201137_016","event_model","2026-05-30T20:36:27.4224385-06:00"
"action:patch_applied","action","patch_applied","event_model","2026-05-30T20:36:27.3967135-06:00"
"event:evt_20260530_201137_019","event","evt_20260530_201137_019","event_model","2026-05-30T20:36:27.4460788-06:00"
"event:evt_20260530_201137_025","event","evt_20260530_201137_025","event_model","2026-05-30T20:36:27.4655803-06:00"
"event:evt_20260530_201137_024","event","evt_20260530_201137_024","event_model","2026-05-30T20:36:27.4634539-06:00"
"event:evt_20260530_201137_004","event","evt_20260530_201137_004","event_model","2026-05-30T20:36:27.3737730-06:00"
"status:blocked","status","blocked","event_model","2026-05-30T20:36:27.3992404-06:00"
"trace_file:rf_core_n8n_task_intake_endpoint_patch_v1_20260523_104229.json","trace_file","rf_core_n8n_task_intake_endpoint_patch_v1_20260523_104229.json","event_model","2026-05-30T20:36:27.4757213-06:00"
"trace_file:rf_event_schema_v1_bootstrap_20260530_200901.json","trace_file","rf_event_schema_v1_bootstrap_20260530_200901.json","event_model","2026-05-30T20:36:27.3616119-06:00"
"trace_file:rf_core_n8n_action_router_v3_endpoint_patch_20260523_111534.json","trace_file","rf_core_n8n_action_router_v3_endpoint_patch_20260523_111534.json","event_model","2026-05-30T20:36:27.4670450-06:00"
"trace_file:rf_n8n_canary_2_20_12_start_5680_localhost.jsonl","trace_file","rf_n8n_canary_2_20_12_start_5680_localhost.jsonl","event_model","2026-05-30T20:36:27.4176837-06:00"
"trace_file:rf_core_n8n_task_intake_20260523.jsonl","trace_file","rf_core_n8n_task_intake_20260523.jsonl","event_model","2026-05-30T20:36:27.4780258-06:00"
"action:safe_export_finalized","action","safe_export_finalized","event_model","2026-05-30T20:36:27.3798857-06:00"
"trace_file:rf_safe_export_final_20260530_031131.json","trace_file","rf_safe_export_final_20260530_031131.json","event_model","2026-05-30T20:36:27.3917794-06:00"
"trace_file:rf_n8n_action_router_v5_import_20260523_162713.json","trace_file","rf_n8n_action_router_v5_import_20260523_162713.json","event_model","2026-05-30T20:36:27.4205369-06:00"
"trace_file:rf_actions_v4_blocked_20260523.jsonl","trace_file","rf_actions_v4_blocked_20260523.jsonl","event_model","2026-05-30T20:36:27.4476236-06:00"
"trace_file:rf_export_cleanup_plan_v1_20260530_032953.json","trace_file","rf_export_cleanup_plan_v1_20260530_032953.json","event_model","2026-05-30T20:36:27.3785260-06:00"
"event:evt_20260530_201137_008","event","evt_20260530_201137_008","event_model","2026-05-30T20:36:27.3966119-06:00"
"event:evt_20260530_201137_017","event","evt_20260530_201137_017","event_model","2026-05-30T20:36:27.4239132-06:00"
"action:trace_observed","action","trace_observed","event_model","2026-05-30T20:36:27.3929268-06:00"
"event:evt_20260530_201137_021","event","evt_20260530_201137_021","event_model","2026-05-30T20:36:27.4559051-06:00"
"event:evt_20260530_201137_002","event","evt_20260530_201137_002","event_model","2026-05-30T20:36:27.3625585-06:00"
"domain:export_cleanup","domain","export_cleanup","event_model","2026-05-30T20:36:27.3626336-06:00"
"event:evt_20260530_201137_029","event","evt_20260530_201137_029","event_model","2026-05-30T20:36:27.4762434-06:00"
"event:evt_20260530_201137_018","event","evt_20260530_201137_018","event_model","2026-05-30T20:36:27.4313151-06:00"
"trace_file:rf_actions_v5_blueprint_20260523_130354.json","trace_file","rf_actions_v5_blueprint_20260523_130354.json","event_model","2026-05-30T20:36:27.4258482-06:00"
"trace_file:rf_actions_v5_execute_20260524.jsonl","trace_file","rf_actions_v5_execute_20260524.jsonl","event_model","2026-05-30T20:36:27.4117558-06:00"
"event:evt_20260530_201137_010","event","evt_20260530_201137_010","event_model","2026-05-30T20:36:27.4096392-06:00"
"trace_file:rf_actions_v4_error_20260526.jsonl","trace_file","rf_actions_v4_error_20260526.jsonl","event_model","2026-05-30T20:36:27.3950422-06:00"
"trace_file:rf_export_cleanup_quarantine_v1_1_20260530_193605.json","trace_file","rf_export_cleanup_quarantine_v1_1_20260530_193605.json","event_model","2026-05-30T20:36:27.3688127-06:00"
"event:evt_20260530_201137_001","event","evt_20260530_201137_001","event_model","2026-05-30T20:36:27.3469650-06:00"
"domain:system","domain","system","event_model","2026-05-30T20:36:27.4318902-06:00"
"trace_file:rf_n8n_action_router_v3_memory_20260523_111848.json","trace_file","rf_n8n_action_router_v3_memory_20260523_111848.json","event_model","2026-05-30T20:36:27.4650742-06:00"
"trace_file:rf_actions_v5_core_health_snapshot_2026-05-24t00-31-23-836z.json","trace_file","rf_actions_v5_core_health_snapshot_2026-05-24T00-31-23-836Z.json","event_model","2026-05-30T20:36:27.4137210-06:00"
"event:evt_20260530_201137_027","event","evt_20260530_201137_027","event_model","2026-05-30T20:36:27.4726725-06:00"
"event:evt_20260530_201137_022","event","evt_20260530_201137_022","event_model","2026-05-30T20:36:27.4591008-06:00"
"status:ok","status","ok","event_model","2026-05-30T20:36:27.3495281-06:00"
"domain:n8n","domain","n8n","event_model","2026-05-30T20:36:27.4163834-06:00"
"action:memory_written","action","memory_written","event_model","2026-05-30T20:36:27.4143488-06:00"
"domain:event_model","domain","event_model","event_model","2026-05-30T20:36:27.3493344-06:00"
"trace_file:rf_safe_export_final_20260530_031637.json","trace_file","rf_safe_export_final_20260530_031637.json","event_model","2026-05-30T20:36:27.3901076-06:00"
"action:action_execute","action","action_execute","event_model","2026-05-30T20:36:27.4098239-06:00"
"trace_file:rf_export_cleanup_close_v1_20260530_194238.json","trace_file","rf_export_cleanup_close_v1_20260530_194238.json","event_model","2026-05-30T20:36:27.3652782-06:00"
"trace_file:rf_core_actions_v5_endpoint_patch_20260523_183102.json","trace_file","rf_core_actions_v5_endpoint_patch_20260523_183102.json","event_model","2026-05-30T20:36:27.3980727-06:00"
"event:evt_20260530_201137_007","event","evt_20260530_201137_007","event_model","2026-05-30T20:36:27.3927295-06:00"
"trace_file:rf_core_n8n_task_intake_memory_v2_20260523_105503.json","trace_file","rf_core_n8n_task_intake_memory_v2_20260523_105503.json","event_model","2026-05-30T20:36:27.4740555-06:00"
"event:evt_20260530_201137_009","event","evt_20260530_201137_009","event_model","2026-05-30T20:36:27.3984875-06:00"
"domain:actions","domain","actions","event_model","2026-05-30T20:36:27.3928361-06:00"
"action:move_to_quarantine","action","move_to_quarantine","event_model","2026-05-30T20:36:27.3664527-06:00"
"trace_file:rf_actions_v4_trace_event_20260523.jsonl","trace_file","rf_actions_v4_trace_event_20260523.jsonl","event_model","2026-05-30T20:36:27.4540055-06:00"
"event:evt_20260530_201137_014","event","evt_20260530_201137_014","event_model","2026-05-30T20:36:27.4192325-06:00"
"trace_file:rf_actions_v4_error_20260523.jsonl","trace_file","rf_actions_v4_error_20260523.jsonl","event_model","2026-05-30T20:36:27.4613810-06:00"
"trace_file:rf_actions_controladas_v4_patch_safe_20260523_123833.json","trace_file","rf_actions_controladas_v4_patch_safe_20260523_123833.json","event_model","2026-05-30T20:36:27.4585407-06:00"
"trace_file:rf_n8n_action_router_v3_import_20260523_110639.json","trace_file","rf_n8n_action_router_v3_import_20260523_110639.json","event_model","2026-05-30T20:36:27.4721709-06:00"
"trace_file:rf_actions_v5_memory_event_20260524.jsonl","trace_file","rf_actions_v5_memory_event_20260524.jsonl","event_model","2026-05-30T20:36:27.4158230-06:00"
"trace_file:rf_n8n_action_router_v5_allowlist_audit_20260523_140701.json","trace_file","rf_n8n_action_router_v5_allowlist_audit_20260523_140701.json","event_model","2026-05-30T20:36:27.4220570-06:00"
"event:evt_20260530_201137_006","event","evt_20260530_201137_006","event_model","2026-05-30T20:36:27.3905373-06:00"
"trace_file:rf_actions_v5_blocked_20260524.jsonl","trace_file","rf_actions_v5_blocked_20260524.jsonl","event_model","2026-05-30T20:36:27.4091566-06:00"
"event:evt_20260530_201137_020","event","evt_20260530_201137_020","event_model","2026-05-30T20:36:27.4485511-06:00"
"trace_file:rf_n8n_task_intake_v2_import_20260523_102528.json","trace_file","rf_n8n_task_intake_v2_import_20260523_102528.json","event_model","2026-05-30T20:36:27.4800223-06:00"
"action:bootstrap_created","action","bootstrap_created","event_model","2026-05-30T20:36:27.3494612-06:00"
"trace_file:rf_core_n8n_action_router_v3_20260523.jsonl","trace_file","rf_core_n8n_action_router_v3_20260523.jsonl","event_model","2026-05-30T20:36:27.4627666-06:00"
