"Nombre","Tipo","Decision","Riesgo","Aplicable","CanMove","Bloqueo","Source","SourceExists","Destination","DestinationExists","DestinationParent","DestinationParentExists"
"video_clean_perrito","DIR","MOVER_A_LAB_VIDEO","BAJO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\video_clean_perrito","True","C:\RUNEFOGE_PRO\lab\video\video_clean_perrito","False","C:\RUNEFOGE_PRO\lab\video","False"
"USB_BACKUPS","DIR","MOVER_A_ARCHIVE_BACKUPS","MEDIO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\USB_BACKUPS","True","C:\RUNEFOGE_PRO\_archive\old_backups\USB_BACKUPS","False","C:\RUNEFOGE_PRO\_archive\old_backups","False"
"tools","DIR","CONSERVAR_EN_SITIO","BAJO","False","False","NO_APLICABLE_SEGUN_PLAN","C:\RUNEFOGE_PRO\tools","True","C:\RUNEFOGE_PRO\tools","True","C:\RUNEFOGE_PRO","True"
"runeforge-v2-ready","DIR","MOVER_A_ARCHIVE_LEGACY","MEDIO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\runeforge-v2-ready","True","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-v2-ready","False","C:\RUNEFOGE_PRO\_archive\legacy_projects","False"
"runeforge-mvp","DIR","MOVER_A_ARCHIVE_LEGACY","MEDIO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\runeforge-mvp","True","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-mvp","False","C:\RUNEFOGE_PRO\_archive\legacy_projects","False"
"runeforge-datahub","DIR","MOVER_A_ARCHIVE_LEGACY","MEDIO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\runeforge-datahub","True","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-datahub","False","C:\RUNEFOGE_PRO\_archive\legacy_projects","False"
"RUNEFORGE_KNOWLEDGE","DIR","CONSERVAR_EN_SITIO","BAJO","False","False","NO_APLICABLE_SEGUN_PLAN","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","True","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","True","C:\RUNEFOGE_PRO","True"
"runeforge","DIR","BLOQUEADO_NO_TOCAR","ALTO","False","False","BLOQUEADO_PROTEGIDO_POR_NOMBRE","C:\RUNEFOGE_PRO\runeforge","True","C:\RUNEFOGE_PRO\runeforge","True","C:\RUNEFOGE_PRO","True"
"memoria-ia-pack","DIR","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\memoria-ia-pack","True","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia-pack","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","True"
"memoria-ia","DIR","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\memoria-ia","True","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","True"
"lab_v1_1_files","DIR","MOVER_A_ARCHIVE_LEGACY","MEDIO","True","True","OK_PARA_APPLY","C:\RUNEFOGE_PRO\lab_v1_1_files","True","C:\RUNEFOGE_PRO\_archive\legacy_projects\lab_v1_1_files","False","C:\RUNEFOGE_PRO\_archive\legacy_projects","False"
