"Nombre","Decision","Riesgo","Estado","Origen","OrigenExiste","Destino","DestinoExiste"
"video_clean_perrito","MOVER_A_LAB_VIDEO","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\video_clean_perrito","False","C:\RUNEFOGE_PRO\lab\video\video_clean_perrito","True"
"USB_BACKUPS","MOVER_A_ARCHIVE_BACKUPS","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\USB_BACKUPS","False","C:\RUNEFOGE_PRO\_archive\old_backups\USB_BACKUPS","True"
"runeforge-v2-ready","MOVER_A_ARCHIVE_LEGACY","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\runeforge-v2-ready","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-v2-ready","True"
"runeforge-mvp","MOVER_A_ARCHIVE_LEGACY","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\runeforge-mvp","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-mvp","True"
"runeforge-datahub","MOVER_A_ARCHIVE_LEGACY","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\runeforge-datahub","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-datahub","True"
"memoria-ia-pack","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\memoria-ia-pack","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia-pack","True"
"memoria-ia","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\memoria-ia","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia","True"
"lab_v1_1_files","MOVER_A_ARCHIVE_LEGACY","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\lab_v1_1_files","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\lab_v1_1_files","True"
"essential_only","MOVER_A_ARCHIVE_LEGACY","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\essential_only","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\essential_only","True"
"diagnostico","MOVER_A_ARCHIVE_LEGACY","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\diagnostico","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\diagnostico","True"
"core","MOVER_A_ARCHIVE_LEGACY","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\core","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\core","True"
"Runeforge V2 Scaffold Base.pdf","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base.pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base.pdf","True"
"Runeforge V2 Scaffold Base (1).pdf","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base (1).pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base (1).pdf","True"
"Runeforge V2 — Bitácora Operativa.pdf","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa.pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 — Bitácora Operativa.pdf","True"
"Runeforge V2 — Bitácora Operativa (1).pdf","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa (1).pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 — Bitácora Operativa (1).pdf","True"
"Prompt Codex Runeforge Final.pdf","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\Prompt Codex Runeforge Final.pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Prompt Codex Runeforge Final.pdf","True"
"netfix_pre_20260505_214746.txt","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\netfix_pre_20260505_214746.txt","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\netfix_pre_20260505_214746.txt","True"
"MEMORIA RUNEGORGE.txt","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","MOVED_OK","C:\RUNEFOGE_PRO\MEMORIA RUNEGORGE.txt","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\MEMORIA RUNEGORGE.txt","True"
"inventario_20260524_032705.csv","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\inventario_20260524_032705.csv","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\inventario_20260524_032705.csv","True"
"gpu_info.txt","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\gpu_info.txt","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\gpu_info.txt","True"
"dxdiag.txt","MOVER_A_MISC_UNSORTED","BAJO","MOVED_OK","C:\RUNEFOGE_PRO\dxdiag.txt","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\dxdiag.txt","True"
