"Nombre","Tipo","Ruta","Categoria","Accion","DestinoSugerido","SizeMB","LastWriteTime"
"video_clean_perrito","DIR","C:\RUNEFOGE_PRO\video_clean_perrito","PIPELINE_VIDEO","REVISAR_ANTES_DE_MOVER","C:\RUNEFOGE_PRO\lab\video\video_clean_perrito","2309.89","2026-05-28 02:55:20"
"USB_BACKUPS","DIR","C:\RUNEFOGE_PRO\USB_BACKUPS","BACKUP_O_EXPORT","REVISAR_ANTES_DE_MOVER","C:\RUNEFOGE_PRO\_archive\old_backups\USB_BACKUPS","10.06","2026-05-17 18:42:34"
"tools","DIR","C:\RUNEFOGE_PRO\tools","CARPETA_CANONICA_UTIL","CONSERVAR","C:\RUNEFOGE_PRO\tools","0.01","2026-05-20 23:58:56"
"runeforge-v2-ready","DIR","C:\RUNEFOGE_PRO\runeforge-v2-ready","PROYECTO_LEGADO_CANDIDATO","PROPONER_ARCHIVO","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-v2-ready","59.05","2026-04-13 01:51:51"
"runeforge-mvp","DIR","C:\RUNEFOGE_PRO\runeforge-mvp","PROYECTO_LEGADO_CANDIDATO","PROPONER_ARCHIVO","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-mvp","143.98","2026-04-27 01:12:11"
"runeforge-datahub","DIR","C:\RUNEFOGE_PRO\runeforge-datahub","PROYECTO_LEGADO_CANDIDATO","PROPONER_ARCHIVO","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-datahub","28.45","2026-04-15 02:09:13"
"RUNEFORGE_KNOWLEDGE","DIR","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","CARPETA_CANONICA_UTIL","CONSERVAR","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","0","2026-05-02 01:38:23"
"runeforge","DIR","C:\RUNEFOGE_PRO\runeforge","NUCLEO_ACTIVO","NO_TOCAR","C:\RUNEFOGE_PRO\runeforge","12856.67","2026-06-06 08:22:41"
"memoria-ia-pack","DIR","C:\RUNEFOGE_PRO\memoria-ia-pack","MEMORIA_CANDIDATA","REVISAR_ANTES_DE_MOVER","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia-pack","0.03","2026-05-19 00:14:32"
"memoria-ia","DIR","C:\RUNEFOGE_PRO\memoria-ia","MEMORIA_CANDIDATA","REVISAR_ANTES_DE_MOVER","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia","0","2026-04-14 12:42:32"
"lab_v1_1_files","DIR","C:\RUNEFOGE_PRO\lab_v1_1_files","PROYECTO_LEGADO_CANDIDATO","PROPONER_ARCHIVO","C:\RUNEFOGE_PRO\_archive\legacy_projects\lab_v1_1_files","0.01","2026-04-13 01:51:57"
"lab","DIR","C:\RUNEFOGE_PRO\lab","CARPETA_CANONICA_UTIL","CONSERVAR","C:\RUNEFOGE_PRO\lab","131.58","2026-05-20 06:35:36"
"essential_only","DIR","C:\RUNEFOGE_PRO\essential_only","PROYECTO_LEGADO_CANDIDATO","PROPONER_ARCHIVO","C:\RUNEFOGE_PRO\_archive\legacy_projects\essential_only","44.84","2026-04-27 01:02:14"
"diagnostico","DIR","C:\RUNEFOGE_PRO\diagnostico","PROYECTO_LEGADO_CANDIDATO","PROPONER_ARCHIVO","C:\RUNEFOGE_PRO\_archive\legacy_projects\diagnostico","0.01","2026-04-13 07:47:33"
"core","DIR","C:\RUNEFOGE_PRO\core","PROYECTO_LEGADO_CANDIDATO","PROPONER_ARCHIVO","C:\RUNEFOGE_PRO\_archive\legacy_projects\core","0","2026-06-06 07:00:06"
"backups","DIR","C:\RUNEFOGE_PRO\backups","CARPETA_CANONICA_UTIL","CONSERVAR","C:\RUNEFOGE_PRO\backups","0.01","2026-05-20 23:58:56"
".tmp.driveupload","DIR","C:\RUNEFOGE_PRO\.tmp.driveupload","PENDIENTE_REVISION","NO_MOVER","PENDIENTE","23.35","2026-06-06 22:28:51"
".git","DIR","C:\RUNEFOGE_PRO\.git","GIT_SUELTO_EN_RAIZ","NO_MOVER_HASTA_VALIDAR","C:\RUNEFOGE_PRO\_archive\git_root_legacy\.git","0","2026-06-06 07:00:06"
"Runeforge V2 Scaffold Base.pdf","FILE","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base.pdf","ARCHIVO_SUELTO","REVISAR_ANTES_DE_MOVER","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base.pdf","0.02","2026-04-13 01:47:49"
"Runeforge V2 Scaffold Base (1).pdf","FILE","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base (1).pdf","ARCHIVO_SUELTO","REVISAR_ANTES_DE_MOVER","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base (1).pdf","0.02","2026-04-13 01:47:59"
"Runeforge V2 — Bitácora Operativa.pdf","FILE","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa.pdf","ARCHIVO_SUELTO","REVISAR_ANTES_DE_MOVER","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 — Bitácora Operativa.pdf","0.02","2026-04-13 01:45:38"
