"Nombre","Tipo","Ruta","Categoria","Decision","Aplicable","Riesgo","DestinoSugerido","SizeMB","Motivo"
"video_clean_perrito","DIR","C:\RUNEFOGE_PRO\video_clean_perrito","PIPELINE_VIDEO","MOVER_A_LAB_VIDEO","True","BAJO","C:\RUNEFOGE_PRO\lab\video\video_clean_perrito","2309.89","Pipeline/lab de video separado del core"
"USB_BACKUPS","DIR","C:\RUNEFOGE_PRO\USB_BACKUPS","BACKUP_O_EXPORT","MOVER_A_ARCHIVE_BACKUPS","True","MEDIO","C:\RUNEFOGE_PRO\_archive\old_backups\USB_BACKUPS","10.06","Backup/export fuera de estructura limpia"
"tools","DIR","C:\RUNEFOGE_PRO\tools","CARPETA_CANONICA_UTIL","CONSERVAR_EN_SITIO","False","BAJO","C:\RUNEFOGE_PRO\tools","0.01","Carpeta canónica útil"
"runeforge-v2-ready","DIR","C:\RUNEFOGE_PRO\runeforge-v2-ready","PROYECTO_LEGADO_CANDIDATO","MOVER_A_ARCHIVE_LEGACY","True","MEDIO","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-v2-ready","59.05","Proyecto legado candidato a archivo"
"runeforge-mvp","DIR","C:\RUNEFOGE_PRO\runeforge-mvp","PROYECTO_LEGADO_CANDIDATO","MOVER_A_ARCHIVE_LEGACY","True","MEDIO","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-mvp","143.98","Proyecto legado candidato a archivo"
"runeforge-datahub","DIR","C:\RUNEFOGE_PRO\runeforge-datahub","PROYECTO_LEGADO_CANDIDATO","MOVER_A_ARCHIVE_LEGACY","True","MEDIO","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-datahub","28.45","Proyecto legado candidato a archivo"
"RUNEFORGE_KNOWLEDGE","DIR","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","CARPETA_CANONICA_UTIL","CONSERVAR_EN_SITIO","False","BAJO","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE","0","Carpeta canónica útil"
"runeforge","DIR","C:\RUNEFOGE_PRO\runeforge","NUCLEO_ACTIVO","BLOQUEADO_NO_TOCAR","False","ALTO","C:\RUNEFOGE_PRO\runeforge","12856.67","Núcleo activo protegido"
"memoria-ia-pack","DIR","C:\RUNEFOGE_PRO\memoria-ia-pack","MEMORIA_CANDIDATA","MOVER_A_KNOWLEDGE_REVIEW","True","MEDIO","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia-pack","0.03","Memoria candidata para RUNEFORGE_KNOWLEDGE"
"memoria-ia","DIR","C:\RUNEFOGE_PRO\memoria-ia","MEMORIA_CANDIDATA","MOVER_A_KNOWLEDGE_REVIEW","True","MEDIO","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia","0","Memoria candidata para RUNEFORGE_KNOWLEDGE"
"lab_v1_1_files","DIR","C:\RUNEFOGE_PRO\lab_v1_1_files","PROYECTO_LEGADO_CANDIDATO","MOVER_A_ARCHIVE_LEGACY","True","MEDIO","C:\RUNEFOGE_PRO\_archive\legacy_projects\lab_v1_1_files","0.01","Proyecto legado candidato a archivo"
"lab","DIR","C:\RUNEFOGE_PRO\lab","CARPETA_CANONICA_UTIL","CONSERVAR_EN_SITIO","False","BAJO","C:\RUNEFOGE_PRO\lab","131.58","Carpeta canónica útil"
"essential_only","DIR","C:\RUNEFOGE_PRO\essential_only","PROYECTO_LEGADO_CANDIDATO","MOVER_A_ARCHIVE_LEGACY","True","MEDIO","C:\RUNEFOGE_PRO\_archive\legacy_projects\essential_only","44.84","Proyecto legado candidato a archivo"
"diagnostico","DIR","C:\RUNEFOGE_PRO\diagnostico","PROYECTO_LEGADO_CANDIDATO","MOVER_A_ARCHIVE_LEGACY","True","MEDIO","C:\RUNEFOGE_PRO\_archive\legacy_projects\diagnostico","0.01","Proyecto legado candidato a archivo"
"core","DIR","C:\RUNEFOGE_PRO\core","PROYECTO_LEGADO_CANDIDATO","MOVER_A_ARCHIVE_LEGACY","True","MEDIO","C:\RUNEFOGE_PRO\_archive\legacy_projects\core","0","Proyecto legado candidato a archivo"
"backups","DIR","C:\RUNEFOGE_PRO\backups","CARPETA_CANONICA_UTIL","CONSERVAR_EN_SITIO","False","BAJO","C:\RUNEFOGE_PRO\backups","0.01","Carpeta canónica útil"
".tmp.driveupload","DIR","C:\RUNEFOGE_PRO\.tmp.driveupload","PENDIENTE_REVISION","BLOQUEADO_REVISION_MANUAL","False","MEDIO","PENDIENTE","23.35","Pendiente especial; posible temporal de Drive"
".git","DIR","C:\RUNEFOGE_PRO\.git","GIT_SUELTO_EN_RAIZ","BLOQUEADO_VALIDAR_GIT","False","ALTO","C:\RUNEFOGE_PRO\_archive\git_root_legacy\.git","0",".git suelto en raíz; validar antes de tocar"
"Runeforge V2 Scaffold Base.pdf","FILE","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base.pdf","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base.pdf","0.02","Archivo suelto fuera de estructura"
"Runeforge V2 Scaffold Base (1).pdf","FILE","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base (1).pdf","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base (1).pdf","0.02","Archivo suelto fuera de estructura"
"Runeforge V2 — Bitácora Operativa.pdf","FILE","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa.pdf","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 — Bitácora Operativa.pdf","0.02","Archivo suelto fuera de estructura"
"Runeforge V2 — Bitácora Operativa (1).pdf","FILE","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa (1).pdf","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 — Bitácora Operativa (1).pdf","0.02","Archivo suelto fuera de estructura"
"Prompt Codex Runeforge Final.pdf","FILE","C:\RUNEFOGE_PRO\Prompt Codex Runeforge Final.pdf","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Prompt Codex Runeforge Final.pdf","0.02","Archivo suelto fuera de estructura"
"netfix_pre_20260505_214746.txt","FILE","C:\RUNEFOGE_PRO\netfix_pre_20260505_214746.txt","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\netfix_pre_20260505_214746.txt","0.01","Archivo suelto fuera de estructura"
"MEMORIA RUNEGORGE.txt","FILE","C:\RUNEFOGE_PRO\MEMORIA RUNEGORGE.txt","MEMORIA_CANDIDATA","MOVER_A_KNOWLEDGE_REVIEW","True","MEDIO","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\MEMORIA RUNEGORGE.txt","0","Memoria candidata para RUNEFORGE_KNOWLEDGE"
"inventario_20260524_032705.csv","FILE","C:\RUNEFOGE_PRO\inventario_20260524_032705.csv","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\inventario_20260524_032705.csv","0","Archivo suelto fuera de estructura"
"gpu_info.txt","FILE","C:\RUNEFOGE_PRO\gpu_info.txt","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\gpu_info.txt","0.13","Archivo suelto fuera de estructura"
"dxdiag.txt","FILE","C:\RUNEFOGE_PRO\dxdiag.txt","ARCHIVO_SUELTO","MOVER_A_MISC_UNSORTED","True","BAJO","C:\RUNEFOGE_PRO\_archive\misc_unsorted\dxdiag.txt","0.13","Archivo suelto fuera de estructura"
