"Nombre","Existe","Tipo","Ruta","Categoria","DecisionOriginal","DecisionFinal","Aplicable","Prioridad","Riesgo","Motivo","DestinoSugerido","SiguienteItem"
".env","True","FILE","C:\RUNEFOGE_PRO\.env","SECRETO_RAIZ","BLOQUEADO_SECRET_AUDIT","BLOQUEADO_SECRET_POLICY","False","ALTA","ALTO","Archivo sensible. No leer contenido. No mover. Definir politica de secretos.","PENDIENTE_SECRET_POLICY","RF_SECRET_POLICY_REVIEW_CURRENT_V1"
"node_modules","True","DIR","C:\RUNEFOGE_PRO\node_modules","DEPENDENCIAS_RAIZ","CANDIDATO_REMOVER_O_ARCHIVAR_CON_DRYRUN","AUDITAR_NODE_MODULES_RAIZ","False","MEDIA","MEDIO","Dependencias reconstruibles. Validar package raiz antes de remover o archivar.","PENDIENTE_NODE_AUDIT","RF_NODE_ROOT_AUDIT_CURRENT_V1"
".tmp.drivedownload","True","DIR","C:\RUNEFOGE_PRO\.tmp.drivedownload","TEMPORAL_GOOGLE_DRIVE","BLOQUEADO_DRIVE_TEMP_CHECK","BLOQUEADO_DRIVE_TEMP_STATUS","False","MEDIA","MEDIO","Temporal Google Drive. Esperar estado estable antes de tocar.","PENDIENTE_DRIVE_STATUS","RF_DRIVE_TEMP_STATUS_CURRENT_V1"
".tmp.driveupload","True","DIR","C:\RUNEFOGE_PRO\.tmp.driveupload","TEMPORAL_GOOGLE_DRIVE","BLOQUEADO_DRIVE_TEMP_CHECK","BLOQUEADO_DRIVE_TEMP_STATUS","False","MEDIA","MEDIO","Temporal Google Drive. Esperar estado estable antes de tocar.","PENDIENTE_DRIVE_STATUS","RF_DRIVE_TEMP_STATUS_CURRENT_V1"
"RUNEFOGE_PRO.zip","True","FILE","C:\RUNEFOGE_PRO\RUNEFOGE_PRO.zip","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","PLAN_ARCHIVE_ZIP_TRIAGE","True","MEDIA","MEDIO","ZIP en raiz. Requiere hash/listado antes de archivar.","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFOGE_PRO.zip","RF_ROOT_CLEANUP_PHASE2_ZIP_DRYRUN_CURRENT_V1"
"RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip","True","FILE","C:\RUNEFOGE_PRO\RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","PLAN_ARCHIVE_ZIP_TRIAGE","True","MEDIA","MEDIO","ZIP en raiz. Requiere hash/listado antes de archivar.","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip","RF_ROOT_CLEANUP_PHASE2_ZIP_DRYRUN_CURRENT_V1"
"RUNEFORGE_MASTER_FUSIONADO1.zip","True","FILE","C:\RUNEFOGE_PRO\RUNEFORGE_MASTER_FUSIONADO1.zip","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","PLAN_ARCHIVE_ZIP_TRIAGE","True","MEDIA","MEDIO","ZIP en raiz. Requiere hash/listado antes de archivar.","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFORGE_MASTER_FUSIONADO1.zip","RF_ROOT_CLEANUP_PHASE2_ZIP_DRYRUN_CURRENT_V1"
"runeforge-mvp.zip","True","FILE","C:\RUNEFOGE_PRO\runeforge-mvp.zip","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","PLAN_ARCHIVE_ZIP_TRIAGE","True","MEDIA","MEDIO","ZIP en raiz. Requiere hash/listado antes de archivar.","C:\RUNEFOGE_PRO\_archive\zip_triage\runeforge-mvp.zip","RF_ROOT_CLEANUP_PHASE2_ZIP_DRYRUN_CURRENT_V1"
"runeforge-mobile-relay","True","DIR","C:\RUNEFOGE_PRO\runeforge-mobile-relay","MODULO_RELAY_LEGACY","CANDIDATO_REVISION_MODULO","AUDITAR_RELAY_LEGACY","False","MEDIA","MEDIO","Modulo relay externo. Validar si sigue activo antes de archivar.","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-mobile-relay","RF_RELAY_LEGACY_AUDIT_CURRENT_V1"
"forge_ui_nexo_v_0.jsx","True","FILE","C:\RUNEFOGE_PRO\forge_ui_nexo_v_0.jsx","REFERENCIA_UI_LEGACY","CANDIDATO_KNOWLEDGE_OR_UI_REFERENCE","PLAN_MOVE_UI_REFERENCE","True","BAJA","BAJO","Referencia visual UI legacy. Conviene pasarla a RUNEFORGE_KNOWLEDGE ui_references.","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\ui_references\forge_ui_nexo_v_0.jsx","RF_UI_REFERENCE_DRYRUN_CURRENT_V1"
