"Nombre","Existe","Tipo","Ruta","SizeMB","LastWriteTime","Categoria","Decision","Riesgo","Motivo","DestinoSugerido"
".env","True","FILE","C:\RUNEFOGE_PRO\.env","0.001","2026-03-02 12:38:18","SECRETO_RAIZ","BLOQUEADO_SECRET_AUDIT","ALTO","Archivo sensible; no leer contenido ni mover sin plan especifico","PENDIENTE_SECRET_POLICY"
"node_modules","True","DIR","C:\RUNEFOGE_PRO\node_modules","-1","2026-06-07 03:31:31","DEPENDENCIAS_RAIZ","CANDIDATO_REMOVER_O_ARCHIVAR_CON_DRYRUN","MEDIO","Dependencias reconstruibles; validar package.json raiz antes de tocar","PENDIENTE_NODE_AUDIT"
".tmp.drivedownload","True","DIR","C:\RUNEFOGE_PRO\.tmp.drivedownload","-1","2026-06-08 02:47:57","TEMPORAL_GOOGLE_DRIVE","BLOQUEADO_DRIVE_TEMP_CHECK","MEDIO","Temporal de Drive; esperar estado estable antes de mover o borrar","PENDIENTE_DRIVE_STATUS"
".tmp.driveupload","True","DIR","C:\RUNEFOGE_PRO\.tmp.driveupload","-1","2026-06-08 03:30:26","TEMPORAL_GOOGLE_DRIVE","BLOQUEADO_DRIVE_TEMP_CHECK","MEDIO","Temporal de Drive; esperar estado estable antes de mover o borrar","PENDIENTE_DRIVE_STATUS"
"RUNEFOGE_PRO.zip","True","FILE","C:\RUNEFOGE_PRO\RUNEFOGE_PRO.zip","0.03","2026-03-10 01:27:15","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","MEDIO","ZIP en raiz; requiere hash, tamaño y listado antes de archivar","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFOGE_PRO.zip"
"RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip","True","FILE","C:\RUNEFOGE_PRO\RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip","0.047","2026-03-20 05:51:30","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","MEDIO","ZIP en raiz; requiere hash, tamaño y listado antes de archivar","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFORGE_MASTER_FUSIONADO_2026-03-20.zip"
"RUNEFORGE_MASTER_FUSIONADO1.zip","True","FILE","C:\RUNEFOGE_PRO\RUNEFORGE_MASTER_FUSIONADO1.zip","0.08","2026-03-20 05:56:42","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","MEDIO","ZIP en raiz; requiere hash, tamaño y listado antes de archivar","C:\RUNEFOGE_PRO\_archive\zip_triage\RUNEFORGE_MASTER_FUSIONADO1.zip"
"runeforge-mvp.zip","True","FILE","C:\RUNEFOGE_PRO\runeforge-mvp.zip","0.012","2026-03-20 06:16:50","ZIP_RAIZ","CANDIDATO_ARCHIVE_ZIP_TRIAGE","MEDIO","ZIP en raiz; requiere hash, tamaño y listado antes de archivar","C:\RUNEFOGE_PRO\_archive\zip_triage\runeforge-mvp.zip"
"runeforge-mobile-relay","True","DIR","C:\RUNEFOGE_PRO\runeforge-mobile-relay","-1","2026-06-07 03:31:30","MODULO_RELAY_LEGACY","CANDIDATO_REVISION_MODULO","MEDIO","Modulo relay externo; revisar si sigue activo antes de archivar","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-mobile-relay"
"forge_ui_nexo_v_0.jsx","True","FILE","C:\RUNEFOGE_PRO\forge_ui_nexo_v_0.jsx","0.01","2026-03-24 06:56:40","REFERENCIA_UI_LEGACY","CANDIDATO_KNOWLEDGE_OR_UI_REFERENCE","BAJO","Referencia visual UI; conviene mover a knowledge o UI references","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\ui_references\forge_ui_nexo_v_0.jsx"
