"Nombre","Decision","Riesgo","Original","OriginalExiste","MovidoA","DestinoExiste","Estado"
"video_clean_perrito","MOVER_A_LAB_VIDEO","BAJO","C:\RUNEFOGE_PRO\video_clean_perrito","False","C:\RUNEFOGE_PRO\lab\video\video_clean_perrito","True","POSTCHECK_OK"
"USB_BACKUPS","MOVER_A_ARCHIVE_BACKUPS","MEDIO","C:\RUNEFOGE_PRO\USB_BACKUPS","False","C:\RUNEFOGE_PRO\_archive\old_backups\USB_BACKUPS","True","POSTCHECK_OK"
"runeforge-v2-ready","MOVER_A_ARCHIVE_LEGACY","MEDIO","C:\RUNEFOGE_PRO\runeforge-v2-ready","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-v2-ready","True","POSTCHECK_OK"
"runeforge-mvp","MOVER_A_ARCHIVE_LEGACY","MEDIO","C:\RUNEFOGE_PRO\runeforge-mvp","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-mvp","True","POSTCHECK_OK"
"runeforge-datahub","MOVER_A_ARCHIVE_LEGACY","MEDIO","C:\RUNEFOGE_PRO\runeforge-datahub","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\runeforge-datahub","True","POSTCHECK_OK"
"memoria-ia-pack","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","C:\RUNEFOGE_PRO\memoria-ia-pack","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia-pack","True","POSTCHECK_OK"
"memoria-ia","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","C:\RUNEFOGE_PRO\memoria-ia","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\memoria-ia","True","POSTCHECK_OK"
"lab_v1_1_files","MOVER_A_ARCHIVE_LEGACY","MEDIO","C:\RUNEFOGE_PRO\lab_v1_1_files","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\lab_v1_1_files","True","POSTCHECK_OK"
"essential_only","MOVER_A_ARCHIVE_LEGACY","MEDIO","C:\RUNEFOGE_PRO\essential_only","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\essential_only","True","POSTCHECK_OK"
"diagnostico","MOVER_A_ARCHIVE_LEGACY","MEDIO","C:\RUNEFOGE_PRO\diagnostico","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\diagnostico","True","POSTCHECK_OK"
"core","MOVER_A_ARCHIVE_LEGACY","MEDIO","C:\RUNEFOGE_PRO\core","False","C:\RUNEFOGE_PRO\_archive\legacy_projects\core","True","POSTCHECK_OK"
"Runeforge V2 Scaffold Base.pdf","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base.pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base.pdf","True","POSTCHECK_OK"
"Runeforge V2 Scaffold Base (1).pdf","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\Runeforge V2 Scaffold Base (1).pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 Scaffold Base (1).pdf","True","POSTCHECK_OK"
"Runeforge V2 — Bitácora Operativa.pdf","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa.pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 — Bitácora Operativa.pdf","True","POSTCHECK_OK"
"Runeforge V2 — Bitácora Operativa (1).pdf","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\Runeforge V2 — Bitácora Operativa (1).pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Runeforge V2 — Bitácora Operativa (1).pdf","True","POSTCHECK_OK"
"Prompt Codex Runeforge Final.pdf","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\Prompt Codex Runeforge Final.pdf","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\Prompt Codex Runeforge Final.pdf","True","POSTCHECK_OK"
"netfix_pre_20260505_214746.txt","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\netfix_pre_20260505_214746.txt","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\netfix_pre_20260505_214746.txt","True","POSTCHECK_OK"
"MEMORIA RUNEGORGE.txt","MOVER_A_KNOWLEDGE_REVIEW","MEDIO","C:\RUNEFOGE_PRO\MEMORIA RUNEGORGE.txt","False","C:\RUNEFOGE_PRO\RUNEFORGE_KNOWLEDGE\MEMORIA RUNEGORGE.txt","True","POSTCHECK_OK"
"inventario_20260524_032705.csv","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\inventario_20260524_032705.csv","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\inventario_20260524_032705.csv","True","POSTCHECK_OK"
"gpu_info.txt","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\gpu_info.txt","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\gpu_info.txt","True","POSTCHECK_OK"
"dxdiag.txt","MOVER_A_MISC_UNSORTED","BAJO","C:\RUNEFOGE_PRO\dxdiag.txt","False","C:\RUNEFOGE_PRO\_archive\misc_unsorted\dxdiag.txt","True","POSTCHECK_OK"
