"state","count","frequency"
"actions|trace_observed|ok","7","0.233333"
"n8n|trace_observed|ok","3","0.1"
"actions|action_execute|ok","2","0.066667"
"actions|blocked_action|blocked","2","0.066667"
"actions|memory_written|ok","2","0.066667"
"actions|patch_applied|ok","2","0.066667"
"actions|trace_observed|error","2","0.066667"
"export_cleanup|safe_export_finalized|ok","2","0.066667"
"event_model|bootstrap_created|ok","1","0.033333"
"export_cleanup|cleanup_closed|closed","1","0.033333"
"export_cleanup|cleanup_plan_generated|ok","1","0.033333"
"export_cleanup|move_to_quarantine|ok","1","0.033333"
"n8n|memory_written|ok","1","0.033333"
"n8n|patch_applied|ok","1","0.033333"
"system|memory_written|ok","1","0.033333"
"system|patch_applied|ok","1","0.033333"
