"from","to","count","total_from","probability"
"actions|memory_written|ok","actions|trace_observed|ok","2","2","1"
"actions|trace_observed|ok","actions|action_execute|ok","2","7","0.285714"
"actions|action_execute|ok","actions|blocked_action|blocked","1","2","0.5"
"n8n|trace_observed|ok","n8n|trace_observed|ok","1","3","0.333333"
"n8n|trace_observed|ok","n8n|patch_applied|ok","1","3","0.333333"
"n8n|trace_observed|ok","actions|memory_written|ok","1","3","0.333333"
"n8n|patch_applied|ok","n8n|memory_written|ok","1","1","1"
"n8n|memory_written|ok","actions|trace_observed|ok","1","1","1"
"export_cleanup|safe_export_finalized|ok","export_cleanup|safe_export_finalized|ok","1","2","0.5"
"export_cleanup|safe_export_finalized|ok","export_cleanup|cleanup_plan_generated|ok","1","2","0.5"
"export_cleanup|move_to_quarantine|ok","export_cleanup|cleanup_closed|closed","1","1","1"
"export_cleanup|cleanup_plan_generated|ok","export_cleanup|move_to_quarantine|ok","1","1","1"
"export_cleanup|cleanup_closed|closed","event_model|bootstrap_created|ok","1","1","1"
"actions|trace_observed|ok","n8n|trace_observed|ok","1","7","0.142857"
"actions|trace_observed|ok","actions|trace_observed|ok","1","7","0.142857"
"actions|trace_observed|ok","actions|trace_observed|error","1","7","0.142857"
"actions|trace_observed|ok","actions|patch_applied|ok","1","7","0.142857"
"actions|trace_observed|ok","actions|blocked_action|blocked","1","7","0.142857"
"actions|trace_observed|error","system|patch_applied|ok","1","2","0.5"
"actions|trace_observed|error","export_cleanup|safe_export_finalized|ok","1","2","0.5"
"actions|patch_applied|ok","actions|trace_observed|error","1","2","0.5"
"actions|patch_applied|ok","actions|memory_written|ok","1","2","0.5"
"actions|blocked_action|blocked","system|memory_written|ok","1","2","0.5"
"actions|blocked_action|blocked","actions|patch_applied|ok","1","2","0.5"
"actions|action_execute|ok","actions|trace_observed|ok","1","2","0.5"
"system|memory_written|ok","actions|trace_observed|ok","1","1","1"
"system|patch_applied|ok","actions|trace_observed|ok","1","1","1"
