"Status","TipoVisual","Origen","Destino","Sha256Origen","Sha256Destino","BytesDestino","Relativo"
"COPIED","croquis_to_blueprint","G:\abasolo satelite.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\abasolo satelite.png","A0CC15FA50CF74DC75F9B81AACCDCE4E6A9A41F8C44DAE2C4ED5B5AAAA444465","A0CC15FA50CF74DC75F9B81AACCDCE4E6A9A41F8C44DAE2C4ED5B5AAAA444465","3432875","abasolo satelite.png"
"COPIED","croquis_to_blueprint","G:\abasolo.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\abasolo.png","A38B6CCBFB983A4D2F5F36DDFC15560587EB9229CC1334C3C138C2928D1A9362","A38B6CCBFB983A4D2F5F36DDFC15560587EB9229CC1334C3C138C2928D1A9362","509596","abasolo.png"
"COPIED","croquis_to_blueprint","G:\tienda.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\tienda.png","36790F6F009E0A4290AFD8360F650D020C7EE809FCB8A6FA76C2E3479BDE271F","36790F6F009E0A4290AFD8360F650D020C7EE809FCB8A6FA76C2E3479BDE271F","2313144","tienda.png"
"COPIED","croquis_to_blueprint","G:\tula.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\croquis_to_blueprint\tula.png","B486866CA557AF92DE3ED3BC5B315FFE41622138DFFFCB6F4746AB06E8451932","B486866CA557AF92DE3ED3BC5B315FFE41622138DFFFCB6F4746AB06E8451932","3634163","tula.png"
"COPIED","geo_route_or_sector_map","G:\CCTB_tgl_bases\ABASOLO.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\geo_route_or_sector_map\CCTB_tgl_bases__ABASOLO.kml","D8BE5A9138CF4321E2CEA6A0D218FBE3FE68732F301D3B63AD18896A554246F1","D8BE5A9138CF4321E2CEA6A0D218FBE3FE68732F301D3B63AD18896A554246F1","678","CCTB_tgl_bases\ABASOLO.kml"
"COPIED","geo_route_or_sector_map","G:\CCTB_tgl_bases\TULA.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\geo_route_or_sector_map\CCTB_tgl_bases__TULA.kml","9E1931CA7068B6155A2D2DA038567A52B6CC129043093BE1C200656848A047D8","9E1931CA7068B6155A2D2DA038567A52B6CC129043093BE1C200656848A047D8","729","CCTB_tgl_bases\TULA.kml"
"COPIED","cctv_coverage_map","G:\CCTB_tgl_bases\cctv-pin\ABASOLO.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin__ABASOLO.kml","D8BE5A9138CF4321E2CEA6A0D218FBE3FE68732F301D3B63AD18896A554246F1","D8BE5A9138CF4321E2CEA6A0D218FBE3FE68732F301D3B63AD18896A554246F1","678","CCTB_tgl_bases\cctv-pin\ABASOLO.kml"
"COPIED","cctv_coverage_map","G:\CCTB_tgl_bases\cctv-pin\TULA.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin__TULA.kml","9E1931CA7068B6155A2D2DA038567A52B6CC129043093BE1C200656848A047D8","9E1931CA7068B6155A2D2DA038567A52B6CC129043093BE1C200656848A047D8","729","CCTB_tgl_bases\cctv-pin\TULA.kml"
"COPIED","cctv_coverage_map","G:\CCTB_tgl_bases\cctv-pin_v2\ABASOLO.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin_v2__ABASOLO.kml","D8BE5A9138CF4321E2CEA6A0D218FBE3FE68732F301D3B63AD18896A554246F1","D8BE5A9138CF4321E2CEA6A0D218FBE3FE68732F301D3B63AD18896A554246F1","678","CCTB_tgl_bases\cctv-pin_v2\ABASOLO.kml"
"COPIED","cctv_coverage_map","G:\CCTB_tgl_bases\cctv-pin_v2\TULA.kml","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTB_tgl_bases__cctv-pin_v2__TULA.kml","9E1931CA7068B6155A2D2DA038567A52B6CC129043093BE1C200656848A047D8","9E1931CA7068B6155A2D2DA038567A52B6CC129043093BE1C200656848A047D8","729","CCTB_tgl_bases\cctv-pin_v2\TULA.kml"
